Date	Open	High	Low	Close	Volume
2015-05-28	131.86	131.95	131.10001	131.78	30647300
2015-05-27	130.34	132.25999	130.05	132.03999	45662800
2015-05-26	132.60001	132.91	129.12	129.62	70193700
2015-05-22	131.60001	132.97	131.39999	132.53999	45123800
2015-05-21	130.07001	131.63	129.83	131.39	39307500
2015-05-20	130.00	130.98	129.34	130.06	35965000
2015-05-19	130.69	130.88	129.64	130.07001	44351200
2015-05-18	128.38	130.72	128.36	130.19	50176600
2015-05-15	129.07001	129.49001	128.21001	128.77	37921200
2015-05-14	127.41	128.95	127.16	128.95	44487500
2015-05-13	126.15	127.19	125.87	126.01	34322000
2015-05-12	125.60	126.88	124.82	125.87	47109200
2015-05-11	127.39	127.56	125.63	126.32	42035800
2015-05-08	126.68	127.62	126.11	127.62	55550400
2015-05-07	124.77	126.08	124.02	125.26	43940900
2015-05-06	126.56	126.75	123.36	125.01	72141000
2015-05-05	128.14999	128.45	125.78	125.80	49271400
2015-05-04	129.50	130.57001	128.25999	128.70	50988300
2015-05-01	126.10	130.13	125.30	128.95	58512600
2015-04-30	128.64	128.64	124.58	125.15	83195400
2015-04-29	130.16	131.59	128.30	128.64	63386100
2015-04-28	134.46001	134.53999	129.57001	130.56	118924000
2015-04-27	132.31	133.13	131.14999	132.64999	96954200
2015-04-24	130.49001	130.63	129.23	130.28	44525900
2015-04-23	128.30	130.42	128.14	129.67	45770900
2015-04-22	126.99	128.87	126.32	128.62	37654500
2015-04-21	128.10001	128.20	126.67	126.91	32435100
2015-04-20	125.57	128.12	125.17	127.60	47054300
2015-04-17	125.55	126.14	124.46	124.75	51957000
2015-04-16	126.28	127.10	126.11	126.17	28369000
2015-04-15	126.41	127.13	126.01	126.78	28970400
2015-04-14	127.00	127.29	125.91	126.30	25524600
2015-04-13	128.37	128.57001	126.61	126.85	36365100
2015-04-10	125.95	127.21	125.26	127.10	40188000
2015-04-09	125.85	126.58	124.66	126.56	32484000
2015-04-08	125.85	126.40	124.97	125.60	37329200
2015-04-07	127.64	128.12	125.98	126.01	35012300
2015-04-06	124.47	127.51	124.33	127.35	37194000
2015-04-02	125.03	125.56	124.19	125.32	32220100
2015-04-01	124.82	125.12	123.10	124.25	40621400
2015-03-31	126.09	126.49	124.36	124.43	42090600
2015-03-30	124.05	126.40	124.00	126.37	47099700
2015-03-27	124.57	124.70	122.91	123.25	39546200
2015-03-26	122.76	124.88	122.60	124.24	47572900
2015-03-25	126.54	126.82	123.38	123.38	51655200
2015-03-24	127.23	128.03999	126.56	126.69	32842300
2015-03-23	127.12	127.85	126.52	127.21	37709700
2015-03-20	128.25	128.39999	125.16	125.90	68695100
2015-03-19	128.75	129.25	127.40	127.50	45809500
2015-03-18	127.00	129.16	126.37	128.47	65270900
2015-03-17	125.90	127.32	125.65	127.04	51023100
2015-03-16	123.88	124.95	122.87	124.95	35874300
2015-03-13	124.40	125.40	122.58	123.59	51827300
2015-03-12	122.31	124.90	121.63	124.45	48362700
2015-03-11	124.75	124.77	122.11	122.24	68939000
2015-03-10	126.41	127.22	123.80	124.51	68856600
2015-03-09	127.96	129.57001	125.06	127.14	88528500
2015-03-06	128.39999	129.37	126.26	126.60	72842100
2015-03-05	128.58	128.75	125.76	126.41	56517100
2015-03-04	129.10001	129.56	128.32001	128.53999	31666300
2015-03-03	128.96001	129.52	128.09	129.36	37816300
2015-03-02	129.25	130.28	128.30	129.09	48096700
2015-02-27	130.00	130.57001	128.24001	128.46001	62014800
2015-02-26	128.78999	130.87	126.61	130.42	91287500
2015-02-25	131.56	131.60001	128.14999	128.78999	74711700
2015-02-24	132.94	133.60001	131.17	132.17	69228100
2015-02-23	130.02	133.00	129.66	133.00	70974100
2015-02-20	128.62	129.50	128.05	129.50	48948400
2015-02-19	128.48	129.03	128.33	128.45	37362400
2015-02-18	127.63	128.78	127.45	128.72	44891700
2015-02-17	127.49	128.88	126.92	127.83	63152400
2015-02-13	127.28	127.28	125.65	127.08	54272200
2015-02-12	126.06	127.48	125.57	126.46	74474500
2015-02-11	122.77	124.92	122.50	124.88	73561800
2015-02-10	120.17	122.15	120.16	122.02	62008500
2015-02-09	118.55	119.84	118.43	119.72	38889800
2015-02-06	120.02	120.25	118.45	118.93	43372000
2015-02-05	120.02	120.23	119.25	119.94	42246200
2015-02-04	118.50	120.51	118.31	119.56	70149700
2015-02-03	118.50	119.09	117.61	118.65	51915700
2015-02-02	118.05	119.17	116.08	118.63	62739100
