date	volume
2015-05-28	30647300 
2015-05-27	45662800 
2015-05-26	70193700 
2015-05-22	45123800 
2015-05-21	39307500 
2015-05-20	35965000 
2015-05-19	44351200 
2015-05-18	50176600 
2015-05-15	37921200 
2015-05-14	44487500 
2015-05-13	34322000 
2015-05-12	47109200 
2015-05-11	42035800 
2015-05-08	55550400 
2015-05-07	43940900 
2015-05-06	72141000 
2015-05-05	49271400 
2015-05-04	50988300 
2015-05-01	58512600 
2015-04-30	83195400 
2015-04-29	63386100 
2015-04-28	118924000 
2015-04-27	96954200 
2015-04-24	44525900 
2015-04-23	45770900 
2015-04-22	37654500 
2015-04-21	32435100 
2015-04-20	47054300 
2015-04-17	51957000 
2015-04-16	28369000 
2015-04-15	28970400 
2015-04-14	25524600 
2015-04-13	36365100 
2015-04-10	40188000 
2015-04-09	32484000 
2015-04-08	37329200 
2015-04-07	35012300 
2015-04-06	37194000 
2015-04-02	32220100 
2015-04-01	40621400 
2015-03-31	42090600 
2015-03-30	47099700 
2015-03-27	39546200 
2015-03-26	47572900 
2015-03-25	51655200 
2015-03-24	32842300 
2015-03-23	37709700 
2015-03-20	68695100 
2015-03-19	45809500 
2015-03-18	65270900 
2015-03-17	51023100 
2015-03-16	35874300 
2015-03-13	51827300 
2015-03-12	48362700 
2015-03-11	68939000 
2015-03-10	68856600 
2015-03-09	88528500 
2015-03-06	72842100 
2015-03-05	56517100 
2015-03-04	31666300 
2015-03-03	37816300 
2015-03-02	48096700 
2015-02-27	62014800 
2015-02-26	91287500 
2015-02-25	74711700 
2015-02-24	69228100 
2015-02-23	70974100 
2015-02-20	48948400 
2015-02-19	37362400 
2015-02-18	44891700 
2015-02-17	63152400 
2015-02-13	54272200 
2015-02-12	74474500 
2015-02-11	73561800 
2015-02-10	62008500 
2015-02-09	38889800 
2015-02-06	43372000 
2015-02-05	42246200 
2015-02-04	70149700 
2015-02-03	51915700 
2015-02-02	62739100 
