Date	Open	High	Low	Close	Volume
2015-05-28	429.70999	431.35001	425.47	426.57001	1907800
2015-05-27	427.45001	431.85001	425.01001	431.42001	2221400
2015-05-26	426.20001	427.00	422.00	425.47	2238200
2015-05-22	431.54999	432.44	427.60999	427.63	2018600
2015-05-21	428.00	436.89999	428.00	431.63	4113200
2015-05-20	420.60001	427.10001	418.35999	423.85999	2191000
2015-05-19	424.87	428.23999	420.63	421.70999	2464200
2015-05-18	426.00	427.26999	421.45999	425.23999	2268700
2015-05-15	428.00	430.39999	424.29999	426.00	4226200
2015-05-14	429.45001	433.00	427.01001	432.28	1883300
2015-05-13	429.98001	433.53	425.79999	426.87	1994000
2015-05-12	431.07999	433.25	426.70999	431.01999	1935900
2015-05-11	432.51001	439.00	431.37	432.85001	2389200
2015-05-08	430.75	435.20001	430.17001	433.69	2887200
2015-05-07	424.14999	428.50	422.85001	426.88	2757800
2015-05-06	421.42999	422.72	414.54999	419.10001	2534900
2015-05-05	422.85001	427.51001	421.01999	421.19	2844700
2015-05-04	424.79999	429.76999	422.42001	423.04001	2266200
2015-05-01	423.82001	425.64001	416.00	422.87	3427600
2015-04-30	427.10999	431.75	419.23999	421.78	3609700
2015-04-29	426.75	434.23999	426.03	429.37	3613300
2015-04-28	438.51001	439.00	428.04001	429.31	4129800
2015-04-27	443.85999	446.98999	437.41	438.56	5420600
2015-04-24	439.00	452.64999	439.00	445.10001	17031400
2015-04-23	390.20999	391.88	386.14999	389.98999	6640600
2015-04-22	391.91	394.28	388.00	389.79999	3447200
2015-04-21	391.31	394.60001	386.79999	391.17999	4634500
2015-04-20	378.54999	391.94	377.00	389.51001	5016100
2015-04-17	382.63	383.56	374.39999	375.56	3828800
2015-04-16	383.69	387.45001	383.54999	386.04001	2070500
2015-04-15	384.64999	385.78	381.64001	383.45001	1921200
2015-04-14	383.51001	387.81	381.20999	385.10999	2583600
2015-04-13	383.53	385.28	380.14001	382.35999	1894500
2015-04-10	384.31	387.12	381.32001	382.64999	2573500
2015-04-09	380.66	384.42001	378.79999	383.54001	2392300
2015-04-08	374.66	381.57999	374.64999	381.20001	2636400
2015-04-07	376.14999	379.31	374.03	374.41	1954900
2015-04-06	370.10001	380.20001	369.35999	377.04001	3050700
2015-04-02	370.50	373.28	369.00	372.25	1875300
2015-04-01	372.10001	373.16	368.34	370.26001	2458100
2015-03-31	373.23999	377.70001	371.51001	372.10001	2506100
2015-03-30	371.87	376.12	371.54999	374.59	1820900
2015-03-27	367.10999	373.17001	366.57001	370.56	2609800
2015-03-26	369.59	371.39999	365.64999	367.35001	2930000
2015-03-25	375.17001	380.50	370.29001	370.95999	3429500
2015-03-24	373.98999	375.23999	372.26999	374.09	2228200
2015-03-23	378.07001	381.76999	374.94	375.10999	2239300
2015-03-20	376.29001	379.37	375.92001	378.48999	3763600
2015-03-19	373.87	377.10999	372.19	373.23999	1915700
2015-03-18	369.97	375.98999	366.70001	375.14001	2654100
2015-03-17	371.10999	374.50	369.64001	371.92001	2037000
2015-03-16	370.38	373.94	366.72	373.35001	2354100
2015-03-13	371.51999	373.98999	366.67999	370.57999	2611700
2015-03-12	368.82001	375.50	367.51999	374.23999	2810000
2015-03-11	370.60999	373.35001	366.26001	366.37	2495100
2015-03-10	377.45001	377.76999	369.17999	369.51001	3121000
2015-03-09	378.39999	379.32999	375.28	378.56	2311400
2015-03-06	385.51999	387.00	378.88	380.09	2627000
2015-03-05	385.60999	388.42001	383.89001	387.82999	2693500
2015-03-04	385.70999	387.89999	382.19	382.72	2259100
2015-03-03	383.95001	386.10001	381.60001	384.60999	1946500
2015-03-02	380.85001	385.89999	379.48001	385.66	2139200
2015-02-27	384.00	385.98999	379.79001	380.16	2532300
2015-02-26	384.07001	389.37	383.28	384.79999	2687100
2015-02-25	377.26999	387.85001	376.54001	385.37	3174500
2015-02-24	378.64999	380.48001	376.16	378.59	1920800
2015-02-23	383.44	384.54001	378.00	380.14001	2177000
2015-02-20	378.62	383.70001	375.84	383.66	3258000
2015-02-19	373.48999	381.88	373.42999	379.00	2953800
2015-02-18	373.78	376.73999	372.85001	373.37	2650600
2015-02-17	377.72	379.98999	372.67001	375.42999	3673200
2015-02-13	378.41	383.00	377.01001	381.82999	3475100
2015-02-12	375.10001	378.51001	373.14999	377.17001	2791100
2015-02-11	371.23001	377.10001	371.10001	375.14001	2786500
2015-02-10	371.19	374.29999	368.51001	373.00	2287200
2015-02-09	371.00	374.41	367.20001	370.56	2724600
2015-02-06	374.87	375.98999	371.01001	374.28	3871300
2015-02-05	366.00	378.79999	365.89999	373.89001	7247600
2015-02-04	358.38	367.50	358.23001	364.75	4169900
2015-02-03	360.29001	367.82001	360.20999	363.54999	6212600
2015-02-02	350.04999	365.00	350.01001	364.47	10231900
