Date	Open	High	Low	Close	Volume
2015-05-28	29.34	29.56	29.16	29.35	18186900
2015-05-27	29.06	29.48	29.02	29.31	23865000
2015-05-26	29.19	29.25	28.75	28.95	25804200
2015-05-22	29.39	29.45	29.26	29.26	19315900
2015-05-21	29.61	29.77	29.43	29.43	20302200
2015-05-20	29.80	29.85	29.53	29.62	19363300
2015-05-19	29.87	29.90	29.63	29.74	18625200
2015-05-18	29.42	29.90	29.42	29.76	23860900
2015-05-15	29.24	29.82	29.16	29.55	37590800
2015-05-14	29.29	29.66	28.97	29.05	56625300
2015-05-13	29.14	29.47	29.13	29.35	36888100
2015-05-12	29.07	29.44	28.80	29.23	31618100
2015-05-11	29.50	29.79	29.20	29.21	26955200
2015-05-08	28.99	29.37	28.99	29.23	22314900
2015-05-07	28.99	29.12	28.74	28.81	22627200
2015-05-06	28.90	29.08	28.69	28.97	23411400
2015-05-05	29.17	29.21	28.84	28.89	22322000
2015-05-04	29.08	29.36	29.07	29.17	16453300
2015-05-01	28.81	29.20	28.78	29.13	18901300
2015-04-30	28.85	29.02	28.68	28.83	26228400
2015-04-29	29.06	29.25	28.90	29.05	22356300
2015-04-28	28.80	29.33	28.76	29.32	24278500
2015-04-27	28.88	29.03	28.71	28.89	22900900
2015-04-24	29.19	29.28	28.67	28.82	27086200
2015-04-23	28.40	28.82	28.20	28.68	22177500
2015-04-22	28.67	28.79	28.42	28.62	19080600
2015-04-21	28.72	28.92	28.66	28.69	23894500
2015-04-20	28.16	28.63	28.16	28.48	21921800
2015-04-17	28.26	28.40	27.90	27.92	36805300
2015-04-16	28.19	28.64	28.10	28.60	29747900
2015-04-15	28.10	28.42	27.97	28.25	31133900
2015-04-14	28.00	28.06	27.68	27.81	19296300
2015-04-13	27.99	28.28	27.94	27.98	22769600
2015-04-10	27.58	28.08	27.56	28.04	24634600
2015-04-09	27.59	27.74	27.42	27.63	16684500
2015-04-08	27.37	27.66	27.37	27.55	19076400
2015-04-07	27.20	27.56	27.13	27.39	16861800
2015-04-06	26.96	27.32	26.84	27.22	20004000
2015-04-02	27.22	27.50	27.13	27.13	19527200
2015-04-01	27.31	27.64	27.10	27.25	22420500
2015-03-31	27.34	27.69	27.28	27.53	29258300
2015-03-30	27.22	27.75	27.22	27.65	29056300
2015-03-27	27.07	27.21	26.94	27.13	20464500
2015-03-26	27.19	27.31	26.62	27.09	48928100
2015-03-25	27.92	28.09	27.46	27.46	27158700
2015-03-24	28.29	28.57	27.99	28.00	23263600
2015-03-23	28.44	28.69	28.36	28.41	23478600
2015-03-20	28.45	28.62	28.32	28.44	37628700
2015-03-19	28.10	28.54	28.03	28.26	27980400
2015-03-18	27.88	28.34	27.72	28.15	34910900
2015-03-17	28.19	28.28	27.95	28.15	21895700
2015-03-16	28.10	28.38	28.04	28.30	25358900
2015-03-13	28.02	28.26	27.57	27.94	36511000
2015-03-12	28.05	28.54	28.05	28.24	22978700
2015-03-11	28.68	28.76	28.21	28.26	25160200
2015-03-10	29.15	29.17	28.66	28.66	26542300
2015-03-09	28.90	29.45	28.76	29.36	23007700
2015-03-06	29.11	29.27	28.80	28.93	27035000
2015-03-05	29.47	29.49	29.12	29.30	17985000
2015-03-04	29.35	29.52	29.11	29.33	32866900
2015-03-03	30.10	30.12	29.47	29.54	32990300
2015-03-02	29.36	30.31	29.34	30.19	35981900
2015-02-27	29.89	29.91	29.38	29.51	29135500
2015-02-26	29.52	29.99	29.52	29.91	28305200
2015-02-25	29.44	29.57	29.32	29.49	17368100
2015-02-24	29.56	29.71	29.43	29.63	18479500
2015-02-23	29.63	29.65	29.42	29.63	24026800
2015-02-20	29.35	29.66	29.16	29.61	25985600
2015-02-19	29.31	29.39	29.13	29.31	21477800
2015-02-18	29.19	29.55	29.12	29.49	24503700
2015-02-17	29.26	29.35	29.03	29.31	34217200
2015-02-13	29.38	29.50	29.11	29.43	50656700
2015-02-12	28.99	29.58	28.84	29.46	117439100
2015-02-11	27.65	27.65	26.90	26.93	46213500
2015-02-10	27.16	27.54	27.15	27.49	22250300
2015-02-09	27.21	27.41	27.06	27.12	23681000
2015-02-06	27.37	27.66	27.14	27.24	25288800
2015-02-05	26.75	27.30	26.58	27.26	20548400
2015-02-04	27.06	27.22	26.61	26.69	27696300
2015-02-03	26.90	27.12	26.69	27.12	28044300
2015-02-02	26.39	26.87	25.92	26.83	29417000
