Date	Open	High	Low	Close	Volume
2015-05-28	102.96	103.42	102.38	103.24	5099900
2015-05-27	103.20	103.78	102.73	103.11	5857500
2015-05-26	104.22	104.44	102.93	103.29	8010200
2015-05-22	105.09	105.55	104.86	104.89	4717200
2015-05-21	105.97	106.27	105.30	105.49	6549300
2015-05-20	105.42	105.90	104.76	105.25	6521200
2015-05-19	106.05	106.31	105.00	105.02	7927600
2015-05-18	107.50	107.51	106.58	106.65	6390600
2015-05-15	107.21	108.33	106.94	108.03	5641600
2015-05-14	108.02	109.30	108.02	108.45	9751700
2015-05-13	107.98	108.47	107.30	107.70	5517600
2015-05-12	107.44	108.00	107.10	107.56	5026500
2015-05-11	108.65	108.69	107.30	107.36	6003600
2015-05-08	108.29	108.80	107.40	108.65	7078900
2015-05-07	107.69	108.20	106.69	107.57	5798300
2015-05-06	109.24	109.53	107.30	107.95	5820400
2015-05-05	109.24	109.93	108.00	108.00	6463300
2015-05-04	109.38	109.41	107.99	108.32	7660100
2015-05-01	110.28	110.80	108.34	109.04	10362700
2015-04-30	112.04	112.20	110.44	111.06	6666800
2015-04-29	110.82	111.99	110.68	111.73	5665800
2015-04-28	110.05	111.24	109.65	111.12	5321600
2015-04-27	110.34	110.74	109.54	109.70	4858700
2015-04-24	109.67	110.04	109.03	109.87	4995000
2015-04-23	110.00	110.65	109.60	109.97	6940000
2015-04-22	110.05	110.44	109.21	109.50	5643100
2015-04-21	110.05	110.74	109.31	109.73	5674900
2015-04-20	109.57	111.71	109.55	110.29	7148800
2015-04-17	109.36	109.69	108.26	109.11	6548700
2015-04-16	109.90	110.94	109.00	110.16	5904200
2015-04-15	109.59	110.69	109.38	110.41	6704000
2015-04-14	107.70	109.09	107.26	108.84	7262700
2015-04-13	107.35	107.90	106.44	106.50	4307200
2015-04-10	107.47	107.66	106.81	106.91	5012200
2015-04-09	106.80	107.24	106.18	106.95	5760500
2015-04-08	108.86	108.92	106.52	106.66	7894800
2015-04-07	106.97	109.09	106.62	108.54	8536000
2015-04-06	106.03	107.86	105.22	106.92	6724000
2015-04-02	104.45	105.68	104.08	105.28	5123900
2015-04-01	105.77	106.22	104.50	104.79	7347200
2015-03-31	105.62	106.07	104.88	104.98	7254100
2015-03-30	104.97	107.21	104.97	106.90	7172400
2015-03-27	104.99	104.99	103.67	104.28	5830300
2015-03-26	106.28	106.52	104.16	105.25	7276900
2015-03-25	104.66	106.20	104.33	105.67	9169400
2015-03-24	105.92	106.19	104.16	104.20	6677800
2015-03-23	107.51	107.69	105.92	105.92	6807700
2015-03-20	105.29	107.26	105.11	107.03	14064900
2015-03-19	105.10	105.40	104.65	104.75	7841900
2015-03-18	102.61	106.88	102.37	106.70	11059700
2015-03-17	102.30	103.55	102.10	103.17	7097500
2015-03-16	101.44	103.27	101.00	103.13	6780200
2015-03-13	101.84	101.84	100.66	101.62	8345200
2015-03-12	104.22	104.51	102.30	102.42	5900600
2015-03-11	103.52	103.89	102.45	103.54	8440700
2015-03-10	103.79	104.55	102.33	102.91	10679000
2015-03-09	103.60	105.63	103.50	103.95	7506200
2015-03-06	104.22	104.52	103.17	103.55	7213300
2015-03-05	105.01	105.31	104.33	104.73	5156900
2015-03-04	105.64	105.64	104.44	105.16	5784900
2015-03-03	105.88	106.22	104.81	105.16	6901200
2015-03-02	106.32	106.34	104.93	105.90	7343700
2015-02-27	107.52	107.73	106.57	106.68	6396500
2015-02-26	107.89	107.92	106.60	107.06	5903100
2015-02-25	108.12	108.78	107.76	108.58	4806500
2015-02-24	107.89	108.24	107.34	107.96	5708400
2015-02-23	107.79	108.50	107.35	107.86	6724000
2015-02-20	108.43	108.87	107.50	108.60	7610600
2015-02-19	108.20	109.58	107.24	108.35	9721100
2015-02-18	111.25	111.65	110.37	110.44	6920300
2015-02-17	112.31	112.93	111.52	112.40	7097300
2015-02-13	111.35	112.84	111.10	112.78	7494400
2015-02-12	110.28	111.05	109.82	110.86	6618000
2015-02-11	108.98	110.18	108.29	109.98	8662000
2015-02-10	110.52	110.62	108.09	110.18	7033700
2015-02-09	109.84	111.50	109.65	110.43	6403000
2015-02-06	109.66	110.46	109.11	109.61	7579100
2015-02-05	109.57	110.11	108.57	109.31	7533300
2015-02-04	108.49	109.28	107.39	108.35	10176000
2015-02-03	107.70	110.11	107.67	109.53	14266700
2015-02-02	103.98	106.13	102.97	106.06	11537600
