Date	Open	High	Low	Close	Volume
2015-05-28	59.23	60.93	58.95	60.56	8905900
2015-05-27	58.86	59.64	58.61	59.38	4255800
2015-05-26	60.03	60.05	58.54	58.73	6294200
2015-05-22	59.73	60.17	59.47	59.72	4539500
2015-05-21	59.00	59.94	59.00	59.74	5135700
2015-05-20	59.47	59.60	58.62	59.15	4895900
2015-05-19	59.65	59.73	59.21	59.25	2902500
2015-05-18	59.22	59.67	59.16	59.46	3913100
2015-05-15	60.15	60.83	59.37	59.41	6180400
2015-05-14	59.23	60.12	58.95	60.10	6093300
2015-05-13	58.54	59.39	58.05	58.81	6363200
2015-05-12	57.84	58.59	57.57	58.30	4534100
2015-05-11	58.85	59.18	58.19	58.34	4559800
2015-05-08	58.63	58.97	58.47	58.82	4756300
2015-05-07	57.49	58.22	57.30	57.96	6618500
2015-05-06	57.81	58.12	56.93	57.49	6983300
2015-05-05	58.77	59.02	57.88	57.94	7837100
2015-05-04	59.14	59.48	58.88	59.11	4119700
2015-05-01	58.26	59.33	58.02	59.30	6836200
2015-04-30	58.57	59.00	57.93	58.26	5869800
2015-04-29	59.11	59.64	58.58	58.88	7262900
2015-04-28	58.96	60.14	58.76	59.48	9443500
2015-04-27	59.05	59.28	58.72	59.09	6888000
2015-04-24	59.10	59.98	58.89	59.20	8656700
2015-04-23	59.41	59.85	58.50	58.89	15693100
2015-04-22	56.38	56.95	56.22	56.75	10438000
2015-04-21	56.49	56.66	56.03	56.42	7414500
2015-04-20	55.99	56.45	55.41	56.07	8690700
2015-04-17	56.33	56.49	55.40	55.79	8899900
2015-04-16	56.99	57.39	56.66	57.04	4389800
2015-04-15	56.98	57.30	56.67	57.02	5176200
2015-04-14	56.79	57.11	56.37	56.95	5073400
2015-04-13	57.16	58.23	56.79	56.94	7020800
2015-04-10	57.42	57.69	57.06	57.34	5094400
2015-04-09	57.11	57.45	56.50	57.01	4869900
2015-04-08	57.19	57.61	56.63	57.11	6875800
2015-04-07	57.10	57.91	56.84	57.08	6840000
2015-04-06	55.50	57.16	55.45	56.82	6189500
2015-04-02	57.05	57.25	56.76	56.91	3543600
2015-04-01	57.33	57.73	56.81	57.13	4939200
2015-03-31	57.70	58.39	57.67	57.68	4857900
2015-03-30	57.75	58.40	57.74	57.93	4763100
2015-03-27	57.35	57.96	57.30	57.63	6067300
2015-03-26	57.56	58.17	57.26	57.52	6548300
2015-03-25	59.62	59.62	58.02	58.06	10582500
2015-03-24	58.33	60.03	58.31	59.51	12523300
2015-03-23	57.92	59.22	57.92	58.62	7417500
2015-03-20	58.21	58.58	57.93	57.93	21583900
2015-03-19	56.81	58.34	56.69	57.88	13573300
2015-03-18	59.36	59.36	57.68	58.43	15651900
2015-03-17	59.55	59.89	58.85	59.49	6891000
2015-03-16	59.52	59.98	59.12	59.57	6324200
2015-03-13	60.04	60.04	58.62	59.07	7867000
2015-03-12	60.06	60.15	59.09	59.41	7425100
2015-03-11	59.33	60.20	59.32	59.68	10799900
2015-03-10	60.05	60.50	59.07	59.21	15744600
2015-03-09	59.87	60.93	59.73	60.81	13773800
2015-03-06	59.10	60.47	59.02	59.87	13804800
2015-03-05	58.28	59.29	58.28	59.08	6882900
2015-03-04	57.86	58.80	57.61	58.31	5791000
2015-03-03	58.36	58.63	58.01	58.26	4903900
2015-03-02	57.55	58.66	57.55	58.38	6490800
2015-02-27	58.68	58.70	57.74	57.91	6269500
2015-02-26	58.23	58.86	58.21	58.54	5710800
2015-02-25	58.54	58.60	57.97	58.35	7677700
2015-02-24	58.07	58.54	57.87	58.40	5041800
2015-02-23	57.84	58.60	57.74	58.07	8120300
2015-02-20	57.67	58.05	57.26	58.02	7009700
2015-02-19	56.97	57.70	56.43	57.65	7792200
2015-02-18	56.39	56.99	56.31	56.90	5919500
2015-02-17	56.17	56.46	55.81	56.42	7448400
2015-02-13	55.02	56.61	55.00	56.47	10285400
2015-02-12	55.64	55.65	54.69	54.74	8954500
2015-02-11	55.42	55.45	54.65	55.14	6225400
2015-02-10	54.44	55.57	53.88	55.27	10928500
2015-02-09	54.01	54.83	54.01	54.33	4297100
2015-02-06	54.20	54.90	54.06	54.50	7952100
2015-02-05	53.85	54.51	53.71	54.29	6175000
2015-02-04	54.09	54.38	53.51	53.71	6839900
2015-02-03	53.91	54.50	53.89	54.25	7400600
2015-02-02	53.11	53.91	52.54	53.71	7796700
