date	close
2015-05-28	60.56
2015-05-27	59.38
2015-05-26	58.73
2015-05-22	59.72
2015-05-21	59.74
2015-05-20	59.15
2015-05-19	59.25
2015-05-18	59.46
2015-05-15	59.41
2015-05-14	60.1
2015-05-13	58.81
2015-05-12	58.3
2015-05-11	58.34
2015-05-08	58.82
2015-05-07	57.96
2015-05-06	57.49
2015-05-05	57.94
2015-05-04	59.11
2015-05-01	59.3
2015-04-30	58.26
2015-04-29	58.88
2015-04-28	59.48
2015-04-27	59.09
2015-04-24	59.2
2015-04-23	58.89
2015-04-22	56.75
2015-04-21	56.42
2015-04-20	56.07
2015-04-17	55.79
2015-04-16	57.04
2015-04-15	57.02
2015-04-14	56.95
2015-04-13	56.94
2015-04-10	57.34
2015-04-09	57.01
2015-04-08	57.11
2015-04-07	57.08
2015-04-06	56.82
2015-04-02	56.91
2015-04-01	57.13
2015-03-31	57.68
2015-03-30	57.93
2015-03-27	57.63
2015-03-26	57.52
2015-03-25	58.06
2015-03-24	59.51
2015-03-23	58.62
2015-03-20	57.93
2015-03-19	57.88
2015-03-18	58.43
2015-03-17	59.49
2015-03-16	59.57
2015-03-13	59.07
2015-03-12	59.41
2015-03-11	59.68
2015-03-10	59.21
2015-03-09	60.81
2015-03-06	59.87
2015-03-05	59.08
2015-03-04	58.31
2015-03-03	58.26
2015-03-02	58.38
2015-02-27	57.91
2015-02-26	58.54
2015-02-25	58.35
2015-02-24	58.4
2015-02-23	58.07
2015-02-20	58.02
2015-02-19	57.65
2015-02-18	56.9
2015-02-17	56.42
2015-02-13	56.47
2015-02-12	54.74
2015-02-11	55.14
2015-02-10	55.27
2015-02-09	54.33
2015-02-06	54.5
2015-02-05	54.29
2015-02-04	53.71
2015-02-03	54.25
2015-02-02	53.71
