Date,Open,High,Low,Close,Volume
2015-05-28,80.25,81.07,80.00,80.15,11963700
2015-05-27,79.60,80.66,79.43,80.55,14065100
2015-05-26,80.43,80.60,79.08,79.33,16238400
2015-05-22,80.35,81.31,80.25,80.54,19533100
2015-05-21,80.19,80.92,80.08,80.48,13359400
2015-05-20,80.47,81.10,79.46,80.55,23005300
2015-05-19,81.25,81.69,80.55,80.63,17931800
2015-05-18,80.33,81.38,80.23,80.88,21077200
2015-05-15,81.41,81.52,80.18,80.42,27011300
2015-05-14,78.94,81.85,78.67,81.37,49281400
2015-05-13,77.72,78.53,77.65,78.44,21432100
2015-05-12,77.87,77.89,76.79,77.46,21176300
2015-05-11,78.48,79.03,77.93,78.01,18802300
2015-05-08,79.10,79.23,78.03,78.51,19804000
2015-05-07,78.00,78.94,77.56,78.43,19697600
2015-05-06,77.97,78.81,77.05,78.10,28525000
2015-05-05,78.55,78.80,77.22,77.56,22158400
2015-05-04,79.33,79.69,78.63,78.81,14636600
2015-05-01,79.24,79.76,78.11,78.99,22783300
2015-04-30,80.01,80.96,78.32,78.77,28700400
2015-04-29,80.01,81.39,79.52,80.47,26285800
2015-04-28,81.83,81.90,80.23,80.68,23638900
2015-04-27,81.87,82.93,81.63,81.91,25335400
2015-04-24,82.77,82.94,81.48,81.53,29576500
2015-04-23,84.10,85.59,82.41,82.41,73512600
2015-04-22,84.32,84.74,83.65,84.63,39108800
2015-04-21,84.00,84.49,83.54,83.62,26761200
2015-04-20,81.54,83.15,81.24,83.09,28796800
2015-04-17,81.48,82.11,80.37,80.78,24076300
2015-04-16,82.47,83.07,82.15,82.31,13657600
2015-04-15,83.55,83.66,82.27,82.71,22336500
2015-04-14,83.17,83.69,82.44,83.52,19634200
2015-04-13,81.93,83.94,81.92,83.01,26883100
2015-04-10,82.21,82.61,81.91,82.04,12529700
2015-04-09,82.50,82.80,81.71,82.17,15927300
2015-04-08,82.63,83.10,81.84,82.28,18966700
2015-04-07,82.65,83.42,82.22,82.32,17467000
2015-04-06,80.80,82.81,80.80,82.44,19062900
2015-04-02,82.25,82.56,81.44,81.56,19664100
2015-04-01,82.50,82.72,80.87,81.67,22058200
2015-03-31,82.90,83.50,82.21,82.22,19734300
2015-03-30,83.81,84.34,82.41,83.20,24527700
2015-03-27,83.38,83.95,82.88,83.30,18372600
2015-03-26,82.72,83.77,82.14,83.01,32794800
2015-03-25,85.50,85.52,82.92,82.92,37436100
2015-03-24,84.71,86.07,84.52,85.31,32576500
2015-03-23,83.92,84.96,83.30,84.43,27357300
2015-03-20,83.39,84.60,83.07,83.80,44466300
2015-03-19,81.12,83.00,81.00,82.75,42099500
2015-03-18,79.25,81.24,79.17,80.91,36912400
2015-03-17,78.36,79.78,78.34,79.36,22170000
2015-03-16,77.96,78.12,77.36,78.07,19305400
2015-03-13,78.60,79.38,77.68,78.05,18557300
2015-03-12,78.10,79.05,77.91,78.93,16093300
2015-03-11,77.80,78.43,77.26,77.57,20215700
2015-03-10,78.50,79.26,77.55,77.55,23067100
2015-03-09,79.68,79.91,78.63,79.44,18925100
2015-03-06,80.90,81.33,79.83,80.01,24488600
2015-03-05,81.23,81.99,81.05,81.21,27825700
2015-03-04,79.30,81.15,78.85,80.90,28126700
2015-03-03,79.61,79.70,78.52,79.60,18635000
2015-03-02,79.00,79.86,78.52,79.75,21662500
2015-02-27,80.68,81.23,78.62,78.97,30739200
2015-02-26,79.88,81.37,79.72,80.41,31111900
2015-02-25,78.50,80.20,78.50,79.56,25593800
2015-02-24,78.50,79.48,78.10,78.45,18897100
2015-02-23,79.96,80.19,78.38,78.84,24139100
2015-02-20,79.55,80.34,79.20,79.90,36931700
2015-02-19,76.99,79.84,76.95,79.42,45851200
2015-02-18,75.94,76.90,75.45,76.71,22426400
2015-02-17,75.30,76.91,75.08,75.60,25254400
2015-02-13,76.46,76.48,75.50,75.74,18621900
2015-02-12,76.86,76.87,75.89,76.23,17235000
2015-02-11,75.09,76.75,75.03,76.51,20877400
2015-02-10,74.85,75.34,74.50,75.19,15811300
2015-02-09,74.05,74.83,73.45,74.44,16194300
2015-02-06,75.68,75.70,74.25,74.47,20989300
2015-02-05,75.71,75.98,75.21,75.61,15062600
2015-02-04,75.09,76.35,75.01,75.63,20277400
2015-02-03,75.19,75.58,73.86,75.40,26957700
2015-02-02,76.11,76.14,73.75,74.99,41955300
