date	close
2015-05-28	27.63
2015-05-27	27.52
2015-05-26	27.52
2015-05-22	27.68
2015-05-21	27.72
2015-05-20	27.64
2015-05-19	27.35
2015-05-18	27.31
2015-05-15	27.27
2015-05-14	27.41
2015-05-13	27.21
2015-05-12	27.03
2015-05-11	26.92
2015-05-08	27.36
2015-05-07	27.04
2015-05-06	26.81
2015-05-05	26.92
2015-05-04	27.27
2015-05-01	27.31
2015-04-30	27.08
2015-04-29	27.09
2015-04-28	27.12
2015-04-27	26.88
2015-04-24	26.8
2015-04-23	26.85
2015-04-22	26.91
2015-04-21	26.62
2015-04-20	27.02
2015-04-17	27.25
2015-04-16	27.28
2015-04-15	27.46
2015-04-14	27.73
2015-04-13	27.63
2015-04-10	28.51
2015-04-09	25.73
2015-04-08	25.01
2015-04-07	25.02
2015-04-06	25.18
2015-04-02	24.94
2015-04-01	24.84
2015-03-31	24.81
2015-03-30	25.12
2015-03-27	24.86
2015-03-26	24.8
2015-03-25	24.91
2015-03-24	25.27
2015-03-23	25.47
2015-03-20	25.4
2015-03-19	25.33
2015-03-18	25.64
2015-03-17	25.31
2015-03-16	25.45
2015-03-13	25.04
2015-03-12	25.4
2015-03-11	25.19
2015-03-10	25.17
2015-03-09	25.64
2015-03-06	25.42
2015-03-05	25.82
2015-03-04	25.66
2015-03-03	25.86
2015-03-02	26.11
2015-02-27	25.99
2015-02-26	25.89
2015-02-25	25.91
2015-02-24	25.39
2015-02-23	25.17
2015-02-20	25.21
2015-02-19	25.01
2015-02-18	25.02
2015-02-17	24.94073
2015-02-13	24.92091
2015-02-12	24.66328
2015-02-11	24.54437
2015-02-10	24.49483
2015-02-09	24.41556
2015-02-06	24.29665
2015-02-05	24.27683
2015-02-04	23.93993
2015-02-03	24.2471
2015-02-02	23.98947
