Date	Open	High	Low	Close	Volume
2015-05-28	36.11	36.48	35.97	36.39	17849300
2015-05-27	35.52	35.81	35.43	35.81	10017100
2015-05-26	35.45	35.60	35.43	35.52	12471500
2015-05-22	35.52	35.74	35.42	35.70	9606500
2015-05-21	35.00	35.66	35.00	35.58	15961600
2015-05-20	35.24	35.30	34.66	35.02	12925600
2015-05-19	35.17	35.24	34.96	35.12	9847600
2015-05-18	34.97	35.21	34.85	35.05	10263100
2015-05-15	34.70	34.98	34.70	34.91	9727000
2015-05-14	35.00	35.04	34.53	34.65	12606100
2015-05-13	34.78	34.97	34.71	34.80	9196900
2015-05-12	34.96	34.96	34.51	34.74	14020300
2015-05-11	35.30	35.59	35.17	35.22	8822700
2015-05-08	35.05	35.46	35.03	35.32	12766800
2015-05-07	34.64	35.03	34.55	34.88	13812000
2015-05-06	35.14	35.23	34.55	34.77	13029800
2015-05-05	35.40	35.52	34.99	35.01	10666900
2015-05-04	35.50	35.72	35.40	35.40	12012600
2015-05-01	35.17	35.47	34.81	35.42	15280900
2015-04-30	35.26	35.43	34.93	35.06	15646300
2015-04-29	35.50	35.70	35.24	35.51	11869100
2015-04-28	35.75	35.96	35.17	35.72	14824900
2015-04-27	35.65	35.95	35.56	35.78	15479700
2015-04-24	35.72	35.81	35.44	35.59	21124600
2015-04-23	36.25	36.30	35.58	35.92	41695000
2015-04-22	37.13	37.22	36.67	37.16	15915900
2015-04-21	37.33	37.45	36.83	37.16	17125100
2015-04-20	36.95	37.17	36.75	37.11	13879800
2015-04-17	36.83	36.85	36.50	36.64	14365000
2015-04-16	37.13	37.18	36.74	37.08	12202600
2015-04-15	36.82	37.08	36.65	36.94	13526900
2015-04-14	36.46	36.82	36.44	36.48	12989700
2015-04-13	36.63	36.86	36.39	36.40	13530700
2015-04-10	36.74	36.78	36.37	36.57	16768900
2015-04-09	36.10	36.39	36.03	36.29	15475300
2015-04-08	35.89	36.19	35.75	36.11	27460300
2015-04-07	35.99	36.09	35.64	35.73	56224000
2015-04-06	36.26	36.97	36.21	36.66	13179000
2015-04-02	36.61	36.73	36.33	36.50	16517700
2015-04-01	37.27	37.37	36.56	36.74	16631200
2015-03-31	37.68	38.04	37.47	37.50	12633400
2015-03-30	37.58	37.87	37.53	37.68	9980300
2015-03-27	37.34	37.48	37.08	37.31	9237600
2015-03-26	37.70	37.91	37.15	37.35	13814500
2015-03-25	37.88	37.91	37.37	37.38	10209800
2015-03-24	38.52	38.52	37.75	37.85	15855900
2015-03-23	38.81	38.99	38.59	38.59	11656900
2015-03-20	38.76	38.93	38.55	38.87	19769700
2015-03-19	38.45	38.78	38.29	38.65	11255700
2015-03-18	38.17	38.60	37.78	38.50	19015600
2015-03-17	38.15	38.47	38.06	38.29	9702700
2015-03-16	38.27	38.60	38.21	38.58	11219000
2015-03-13	38.39	38.39	37.73	38.05	11404200
2015-03-12	37.86	38.47	37.84	38.43	13986000
2015-03-11	37.60	38.13	37.52	37.78	13191600
2015-03-10	37.43	37.78	37.15	37.55	20314000
2015-03-09	37.55	37.81	37.32	37.66	22979300
2015-03-06	37.46	37.55	36.73	36.84	13764200
2015-03-05	37.64	37.82	37.56	37.61	6620700
2015-03-04	37.63	37.80	37.30	37.57	12736400
2015-03-03	37.38	37.81	37.30	37.80	10036000
2015-03-02	37.31	37.71	37.31	37.61	11234200
2015-02-27	37.38	37.45	37.11	37.31	10490200
2015-02-26	37.81	38.13	37.51	37.56	10708200
2015-02-25	37.79	37.96	37.61	37.86	11161500
2015-02-24	37.62	37.91	37.58	37.75	8562400
2015-02-23	37.62	37.77	37.34	37.69	10970200
2015-02-20	37.49	37.72	37.16	37.65	9345200
2015-02-19	37.03	37.61	36.98	37.51	11780800
2015-02-18	37.25	37.48	37.13	37.19	8513300
2015-02-17	37.20	37.47	37.05	37.24	13147100
2015-02-13	37.93	38.07	37.35	37.62	14696300
2015-02-12	37.85	38.18	37.73	38.02	15537400
2015-02-11	37.51	37.86	37.28	37.67	22634000
2015-02-10	37.28	37.55	36.40	37.52	32369400
2015-02-09	35.79	36.10	35.51	36.00	14797500
2015-02-06	36.26	36.54	35.92	36.00	16240100
2015-02-05	36.28	36.60	36.01	36.25	20854900
2015-02-04	35.27	35.98	34.15	35.83	49298100
2015-02-03	33.50	34.20	33.44	33.98	26207000
2015-02-02	32.67	33.15	32.44	33.11	18397000
