Date	Open	High	Low	Close	Volume
2015-05-28	538.01001	540.60999	536.25	539.78003	1027900
2015-05-27	532.79999	540.54999	531.71002	539.78998	1520400
2015-05-26	538.12	539.00	529.88	532.32001	2403400
2015-05-22	540.15002	544.19	539.51001	540.10999	1173300
2015-05-21	537.95001	543.84003	535.97998	542.51001	1461400
2015-05-20	538.48999	542.91998	532.97198	539.27002	1429100
2015-05-19	533.97998	540.65997	533.03998	537.35999	1963300
2015-05-18	532.01001	534.82001	528.84998	532.29999	1998600
2015-05-15	539.17999	539.27399	530.38	533.84998	1962700
2015-05-14	533.77002	539.00	532.40997	538.40002	1399100
2015-05-13	530.56	534.32202	528.65503	529.62	1252300
2015-05-12	531.59998	533.20898	525.26001	529.03998	1625400
2015-05-11	538.37	541.97998	535.40002	535.70001	905300
2015-05-08	536.65002	541.15002	525.00	538.21997	1527600
2015-05-07	523.98999	533.46002	521.75	530.70001	1546300
2015-05-06	531.23999	532.38	521.08502	524.21997	1567000
2015-05-05	538.21002	539.73999	530.39099	530.79999	1383100
2015-05-04	538.53003	544.07001	535.06	540.78003	1308000
2015-05-01	538.42999	539.53998	532.09998	537.90002	1768200
2015-04-30	547.87	548.59003	535.04999	537.34003	2082200
2015-04-29	550.46997	553.67999	546.90503	549.08002	1698800
2015-04-28	554.64001	556.02002	550.36603	553.67999	1491000
2015-04-27	563.39001	565.95001	553.20001	555.37	2398000
2015-04-24	566.10254	571.14258	557.2525	565.06256	4932500
2015-04-23	541.00244	550.96246	540.23242	547.0025	4184900
2015-04-22	534.4024	541.08246	531.75238	539.36743	1593600
2015-04-21	537.51245	539.39246	533.67743	533.97241	1844800
2015-04-20	525.60236	536.09241	524.50238	535.38239	1679300
2015-04-17	528.66235	529.84241	521.01239	524.05237	2144100
2015-04-16	529.9024	535.59247	529.61237	533.80237	1299900
2015-04-15	528.70239	534.73242	523.22235	532.53241	2318800
2015-04-14	536.25238	537.57245	528.09436	530.3924	2604100
2015-04-13	538.41241	544.06244	537.31244	539.17242	1645300
2015-04-10	542.29242	542.29242	537.31244	540.01245	1409500
2015-04-09	541.03247	541.95251	535.49237	540.78247	1557900
2015-04-08	538.38245	543.85242	538.38245	541.61243	1178500
2015-04-07	538.08246	542.69244	536.00238	537.02246	1302900
2015-04-06	532.22235	538.41241	529.57239	536.76746	1324400
2015-04-02	540.85242	540.85242	533.84937	535.53247	1716400
2015-04-01	548.60242	551.14252	539.5025	542.56244	1963100
2015-03-31	550.00244	554.71252	546.72247	548.00244	1588000
2015-03-30	551.6225	553.47247	548.17249	552.03253	1287500
2015-03-27	553.0025	555.28259	548.13245	548.34253	1897500
2015-03-26	557.59253	558.90253	550.65253	555.17255	1572600
2015-03-25	570.50256	572.26263	558.74249	558.78748	2152300
2015-03-24	562.56256	574.59259	561.21259	570.19263	2583300
2015-03-23	560.43256	562.36255	555.83252	558.8125	1643800
2015-03-20	561.65259	561.72253	559.05255	560.36255	2616900
2015-03-19	559.39252	560.80255	556.14752	557.99249	1197300
2015-03-18	552.5025	559.78259	547.0025	559.5025	2134500
2015-03-17	551.71252	553.80249	548.00244	550.84253	1805500
2015-03-16	550.95251	556.85248	546.0025	554.51251	1641000
2015-03-13	553.50256	558.40259	544.22247	547.32251	1703600
2015-03-12	553.51251	556.37256	550.46252	555.51251	1389600
2015-03-11	555.14252	558.14252	550.6825	551.1825	1820800
2015-03-10	564.25256	564.85254	554.73248	555.01251	1792300
2015-03-09	566.86255	570.27258	563.53748	568.85254	1062100
2015-03-06	574.88257	576.68262	566.76257	567.68756	1659100
2015-03-05	575.02264	577.9126	573.41254	575.33258	1389600
2015-03-04	571.87256	577.11255	568.01263	573.37256	1876800
2015-03-03	570.45258	575.39264	566.52258	573.64264	1704800
2015-03-02	560.53253	572.15265	558.7525	571.34259	2129600
2015-02-27	554.24249	564.71259	552.90253	558.40259	2410200
2015-02-26	543.21246	556.14252	541.50244	555.48254	2311500
2015-02-25	535.90247	546.22241	535.44739	543.8725	1826000
2015-02-24	530.00244	536.79242	528.25238	536.09241	1005100
2015-02-23	536.05237	536.44147	529.41235	531.91235	1457900
2015-02-20	543.13251	543.75244	535.80243	538.95245	1444400
2015-02-19	538.04242	543.11249	538.01245	542.87244	989100
2015-02-18	541.40247	545.49249	537.51245	539.70239	1453100
2015-02-17	546.83252	550.00244	541.09247	542.84253	1616800
2015-02-13	543.35242	549.91248	543.13251	549.01251	1900300
2015-02-12	537.25238	544.82251	534.67542	542.9325	1620200
2015-02-11	535.30243	538.45245	533.38037	535.97241	1377800
2015-02-10	529.30237	537.70245	526.92236	536.94238	1749900
2015-02-09	528.00238	532.00244	526.0224	527.8324	1267800
2015-02-06	527.64246	537.20245	526.41235	531.00244	1749400
2015-02-05	523.79236	528.50238	522.09235	527.5824	1849800
2015-02-04	529.24237	532.67444	521.27234	522.76233	1663700
2015-02-03	528.00238	533.4024	523.26239	529.24237	2038700
2015-02-02	531.73236	533.00238	518.55231	528.48236	2849800
