Date,Open,High,Low,Close,Volume
2015-05-28,33.71,33.91,33.47,33.65,6852200
2015-05-27,33.63,33.82,33.22,33.78,13780700
2015-05-26,34.47,34.62,33.26,33.38,16943800
2015-05-22,34.27,35.60,34.26,34.76,28538200
2015-05-21,33.10,33.94,33.02,33.83,13154600
2015-05-20,33.41,33.45,32.78,33.07,11999400
2015-05-19,33.24,33.49,33.21,33.40,7672500
2015-05-18,33.49,33.52,33.01,33.25,8736900
2015-05-15,33.60,33.73,33.29,33.60,9704500
2015-05-14,33.51,33.73,33.40,33.70,6095700
2015-05-13,33.01,33.48,32.97,33.30,6129600
2015-05-12,33.32,33.37,32.90,32.92,9014200
2015-05-11,33.40,33.82,33.33,33.70,9968200
2015-05-08,33.18,33.50,32.96,33.41,7546200
2015-05-07,32.45,33.00,32.27,32.82,7743900
2015-05-06,33.19,33.38,32.25,32.50,8441200
2015-05-05,33.44,33.67,32.93,33.16,8716400
2015-05-04,33.80,33.89,33.58,33.65,5044200
2015-05-01,33.20,33.93,33.20,33.80,8424100
2015-04-30,33.31,33.46,32.84,32.97,10413200
2015-04-29,33.14,33.56,32.89,33.32,8580900
2015-04-28,33.19,33.24,32.73,33.24,8903100
2015-04-27,33.39,33.39,33.00,33.07,8378000
2015-04-24,33.75,33.75,33.15,33.26,7374300
2015-04-23,33.20,33.70,33.13,33.38,8589000
2015-04-22,33.30,33.65,33.03,33.51,8968300
2015-04-21,33.49,33.62,32.92,33.21,9341500
2015-04-20,32.63,33.45,32.62,33.41,10698000
2015-04-17,32.56,32.79,32.33,32.53,10579200
2015-04-16,32.95,33.17,32.80,32.81,7528400
2015-04-15,32.73,33.27,32.63,33.04,11184100
2015-04-14,32.69,32.70,32.03,32.52,11325300
2015-04-13,32.11,32.85,31.90,32.70,19703000
2015-04-10,31.66,32.21,31.32,32.11,15519800
2015-04-09,31.55,31.77,31.37,31.55,7544300
2015-04-08,31.50,31.97,31.12,31.52,11664700
2015-04-07,31.73,31.81,31.42,31.42,8444800
2015-04-06,31.07,31.88,31.00,31.83,9231400
2015-04-02,31.30,31.75,31.22,31.40,8527700
2015-04-01,31.85,31.86,31.22,31.29,15527600
2015-03-31,31.29,31.45,31.04,31.16,13722100
2015-03-30,31.88,31.98,31.48,31.57,11118600
2015-03-27,32.21,32.33,31.03,31.49,19646100
2015-03-26,31.91,32.60,31.57,32.01,13709000
2015-03-25,33.42,33.50,32.20,32.20,11313000
2015-03-24,33.42,33.50,33.11,33.31,11106000
2015-03-23,33.30,33.74,33.24,33.45,12723900
2015-03-20,32.86,33.59,32.86,33.28,25140600
2015-03-19,32.94,33.04,32.63,32.84,11780900
2015-03-18,32.36,33.16,32.16,33.03,13889400
2015-03-17,32.28,32.47,32.20,32.43,10408400
2015-03-16,32.40,32.71,32.19,32.38,12498900
2015-03-13,32.59,32.59,32.00,32.43,14845500
2015-03-12,31.63,32.80,31.51,32.72,26255300
2015-03-11,32.98,32.98,32.41,32.61,13762600
2015-03-10,33.21,33.21,32.49,32.67,16633700
2015-03-09,33.03,33.09,32.62,32.95,14137600
2015-03-06,33.80,33.95,33.11,33.18,17413000
2015-03-05,34.28,34.33,33.84,34.00,18224700
2015-03-04,34.44,34.49,34.01,34.19,15652900
2015-03-03,34.92,35.04,34.45,34.57,13686400
2015-03-02,34.84,35.13,34.50,34.92,15719600
2015-02-27,33.98,34.99,33.92,34.84,29539200
2015-02-26,34.50,34.65,33.69,34.01,32530600
2015-02-25,35.36,35.69,34.42,34.67,62987700
2015-02-24,38.24,38.71,38.01,38.49,16300800
2015-02-23,38.48,38.50,37.92,38.19,9947900
2015-02-20,38.34,38.49,37.83,38.39,7518300
2015-02-19,38.15,38.40,37.85,38.38,5732200
2015-02-18,38.58,38.58,37.91,38.15,8247200
2015-02-17,38.55,38.86,38.30,38.53,7569900
2015-02-13,38.29,38.58,38.14,38.56,6630500
2015-02-12,38.44,38.85,38.23,38.37,9193600
2015-02-11,37.89,38.44,37.88,38.18,7953700
2015-02-10,37.89,38.31,37.66,37.89,7781500
2015-02-09,37.83,37.84,37.31,37.64,7968200
2015-02-06,37.94,38.65,37.83,37.95,8307500
2015-02-05,37.97,38.18,37.80,37.95,6313100
2015-02-04,37.61,38.29,37.61,37.90,10479700
2015-02-03,36.70,37.80,36.70,37.77,14610300
2015-02-02,36.26,36.56,35.44,36.47,15459600
