Date,Open,High,Low,Close,Volume
2015-05-28,33.74,34.15,33.68,34.01,27105800
2015-05-27,33.20,33.85,33.13,33.71,30123200
2015-05-26,33.27,33.29,32.84,33.10,28438700
2015-05-22,33.47,33.51,33.32,33.45,20616200
2015-05-21,33.21,33.56,33.07,33.55,21204500
2015-05-20,33.06,33.50,33.01,33.37,21280200
2015-05-19,33.36,33.38,32.99,33.15,20636500
2015-05-18,32.98,33.41,32.85,33.41,23571300
2015-05-15,33.09,33.12,32.75,32.99,17124800
2015-05-14,32.86,33.13,32.77,32.97,21062800
2015-05-13,32.27,32.90,32.27,32.64,20355200
2015-05-12,32.44,32.50,32.00,32.25,24377900
2015-05-11,32.68,32.71,32.43,32.69,18358600
2015-05-08,32.51,32.88,32.34,32.80,26926500
2015-05-07,32.27,32.63,32.18,32.24,21475300
2015-05-06,32.50,32.79,31.93,32.22,31985400
2015-05-05,33.00,33.10,32.57,32.64,29779200
2015-05-04,33.27,33.50,33.22,33.43,21397300
2015-05-01,32.63,33.49,32.62,33.42,27091200
2015-04-30,32.71,32.85,32.30,32.55,22013300
2015-04-29,32.56,33.00,32.55,32.89,21819000
2015-04-28,32.30,33.04,32.23,33.02,29572800
2015-04-27,32.08,32.69,32.08,32.50,25869600
2015-04-24,32.41,32.48,32.02,32.08,22759900
2015-04-23,32.04,32.41,32.01,32.35,23775300
2015-04-22,32.41,32.72,32.03,32.70,21144200
2015-04-21,32.93,32.97,32.28,32.43,19023800
2015-04-20,32.61,32.79,32.53,32.73,20649300
2015-04-17,32.51,32.70,32.22,32.47,30593600
2015-04-16,32.85,32.99,32.70,32.87,28903200
2015-04-15,32.26,32.99,32.07,32.83,61083500
2015-04-14,31.68,31.94,31.27,31.49,39754000
2015-04-13,31.81,32.05,31.71,31.73,23489000
2015-04-10,31.33,31.94,31.33,31.93,28084900
2015-04-09,30.68,31.62,30.57,31.24,34167600
2015-04-08,31.23,31.56,31.06,31.31,18250300
2015-04-07,31.07,31.59,31.00,31.26,23258300
2015-04-06,30.81,31.25,30.45,31.04,21490900
2015-04-02,30.80,31.23,30.67,30.81,20909600
2015-04-01,31.13,31.32,30.65,30.81,31532100
2015-03-31,31.43,31.93,31.20,31.27,32098500
2015-03-30,31.66,32.10,31.30,31.46,51391500
2015-03-27,30.01,33.00,29.85,32.00,73857200
2015-03-26,29.50,30.40,29.31,30.08,45450100
2015-03-25,30.81,30.89,29.86,29.89,37691000
2015-03-24,31.16,31.32,30.74,30.79,28471400
2015-03-23,31.29,31.79,31.20,31.20,29694000
2015-03-20,30.99,31.62,30.93,31.31,64777100
2015-03-19,30.78,31.10,30.69,30.74,27414200
2015-03-18,30.41,31.20,30.30,30.89,39834100
2015-03-17,30.58,30.73,30.41,30.59,29215600
2015-03-16,30.93,31.11,30.65,30.83,33074600
2015-03-13,30.63,30.98,30.36,30.93,47954700
2015-03-12,31.01,31.60,30.58,30.80,107402400
2015-03-11,31.97,32.96,31.95,32.33,49683600
2015-03-10,32.24,32.41,31.50,31.70,50278900
2015-03-09,33.20,33.27,32.48,32.72,33058800
2015-03-06,33.54,33.68,33.08,33.19,32373100
2015-03-05,34.26,34.50,33.59,33.73,21225800
2015-03-04,33.86,34.41,33.72,34.12,23005800
2015-03-03,33.95,34.38,33.91,34.10,27332000
2015-03-02,33.29,34.13,33.12,34.06,25406400
2015-02-27,33.63,33.64,33.21,33.25,24427300
2015-02-26,33.62,33.88,33.43,33.65,25928400
2015-02-25,34.03,34.15,33.73,33.95,24686300
2015-02-24,33.61,34.49,33.51,34.41,29607500
2015-02-23,34.40,34.50,33.58,33.76,25565500
2015-02-20,34.15,34.57,33.91,34.41,20955600
2015-02-19,34.25,34.42,34.05,34.21,11017500
2015-02-18,34.65,34.71,34.19,34.27,19992900
2015-02-17,34.40,34.75,34.26,34.74,19374100
2015-02-13,34.25,34.37,33.95,34.36,18037900
2015-02-12,33.98,34.13,33.76,34.13,20056700
2015-02-11,33.67,33.76,33.32,33.55,18364200
2015-02-10,33.20,33.73,33.05,33.70,20200000
2015-02-09,33.00,33.24,32.67,32.93,28705500
2015-02-06,33.92,34.00,33.14,33.30,29124600
2015-02-05,33.68,33.99,33.45,33.94,20491400
2015-02-04,33.67,33.84,33.30,33.60,25052800
2015-02-03,33.78,34.05,32.61,33.70,36038300
2015-02-02,33.06,33.75,32.65,33.65,38733800
