Date	Open	High	Low	Close	Volume
2015-05-28	66.36	66.40	65.74	66.20	11792300
2015-05-27	65.95	66.65	65.82	66.47	10877100
2015-05-26	66.20	66.29	65.31	65.73	15458100
2015-05-22	66.63	66.83	66.32	66.47	9292600
2015-05-21	66.14	66.68	66.01	66.65	12817500
2015-05-20	66.95	67.03	66.40	66.48	11682900
2015-05-19	66.77	67.19	66.57	67.01	14282700
2015-05-18	65.80	66.54	65.80	66.42	10505500
2015-05-15	66.13	66.16	65.44	65.88	11137700
2015-05-14	65.83	66.18	65.71	66.05	11845200
2015-05-13	65.42	65.63	65.06	65.52	11874100
2015-05-12	65.31	65.54	64.76	65.36	12717000
2015-05-11	65.26	65.64	65.08	65.45	13798800
2015-05-08	64.97	65.65	64.60	65.49	16032900
2015-05-07	63.67	64.60	63.25	64.50	15013400
2015-05-06	64.53	65.07	63.42	63.92	17825100
2015-05-05	64.51	65.32	64.29	64.40	17689400
2015-05-04	63.68	64.87	63.64	64.72	14935500
2015-05-01	63.70	63.87	63.33	63.61	11640100
2015-04-30	63.58	63.88	62.92	63.26	16656700
2015-04-29	62.56	63.89	62.46	63.60	17527400
2015-04-28	62.49	62.78	61.77	62.76	12261500
2015-04-27	62.70	63.15	62.31	62.34	11118400
2015-04-24	62.63	62.84	62.34	62.60	9596200
2015-04-23	62.79	63.21	62.60	62.80	12830900
2015-04-22	62.65	63.15	62.03	62.94	14453500
2015-04-21	63.33	63.60	62.13	62.31	14874200
2015-04-20	63.22	63.52	63.14	63.24	12755300
2015-04-17	63.25	63.40	62.49	62.84	20151300
2015-04-16	64.08	64.27	63.66	63.81	16569500
2015-04-15	63.08	64.48	63.01	64.21	28658200
2015-04-14	62.96	63.61	62.74	63.04	33775400
2015-04-13	61.64	62.27	61.50	62.07	15468700
2015-04-10	61.35	61.78	61.20	61.70	9869700
2015-04-09	61.27	61.58	60.83	61.47	11728500
2015-04-08	61.06	61.56	60.94	61.05	11734000
2015-04-07	61.15	61.50	60.85	60.85	11505500
2015-04-06	59.92	60.75	59.65	60.47	12025200
2015-04-02	60.07	60.70	60.00	60.52	12697800
2015-04-01	60.41	60.57	59.73	59.95	18100600
2015-03-31	60.72	60.94	60.42	60.58	17346700
2015-03-30	60.88	61.46	60.61	60.96	20656500
2015-03-27	59.49	59.78	59.00	59.55	11755800
2015-03-26	59.46	59.79	58.87	59.54	14039600
2015-03-25	60.53	60.64	59.59	59.61	14950900
2015-03-24	60.97	61.24	60.45	60.46	12128700
2015-03-23	61.75	62.08	61.12	61.14	15112900
2015-03-20	61.32	62.10	61.15	61.75	18368300
2015-03-19	61.57	61.65	60.76	61.20	11523800
2015-03-18	61.39	62.05	61.09	61.75	15697900
2015-03-17	61.34	61.66	60.92	61.61	11718300
2015-03-16	61.50	61.92	61.25	61.85	15182900
2015-03-13	61.40	61.86	60.43	61.00	16506200
2015-03-12	60.65	61.45	60.65	61.37	18159600
2015-03-11	60.13	60.65	59.96	60.24	13015600
2015-03-10	60.76	61.01	59.96	59.96	16357700
2015-03-09	60.84	61.63	60.80	61.50	13001500
2015-03-06	62.16	62.87	60.80	60.89	22719200
2015-03-05	62.20	62.23	61.60	62.00	10931300
2015-03-04	61.64	62.17	61.35	62.13	16625500
2015-03-03	61.65	61.99	61.50	61.97	13706900
2015-03-02	61.28	61.83	61.03	61.77	13047300
2015-02-27	61.13	61.92	61.13	61.28	15225900
2015-02-26	61.03	61.70	60.91	61.58	15444800
2015-02-25	60.76	61.27	60.75	61.14	18307900
2015-02-24	60.25	61.25	60.08	60.82	22937700
2015-02-23	59.50	59.53	58.80	59.35	16814000
2015-02-20	58.96	59.89	58.35	59.80	15379000
2015-02-19	59.15	59.48	58.80	59.23	11256500
2015-02-18	60.10	60.10	59.12	59.37	14278100
2015-02-17	59.36	60.14	59.32	60.10	15308800
2015-02-13	59.46	60.22	59.34	59.67	16479100
2015-02-12	58.93	59.71	58.55	59.57	23211300
2015-02-11	58.06	58.66	57.84	58.37	13061900
2015-02-10	58.42	58.71	58.05	58.46	16367300
2015-02-09	57.42	58.10	57.23	57.82	14372400
2015-02-06	57.75	58.73	57.54	57.89	25009100
2015-02-05	56.86	57.04	56.46	56.77	11293900
2015-02-04	56.32	57.07	56.28	56.38	14934100
2015-02-03	55.91	56.78	55.87	56.72	18812500
2015-02-02	54.53	55.65	54.27	55.47	20308900
