Date,Open,High,Low,Close,Volume
2015-05-28,41.20,41.30,40.88,41.14,9227200
2015-05-27,40.94,41.20,40.83,41.12,9816800
2015-05-26,41.12,41.18,40.74,40.99,15153200
2015-05-22,41.12,41.24,41.04,41.21,11874500
2015-05-21,41.26,41.32,41.07,41.23,9267800
2015-05-20,41.37,41.59,41.31,41.35,10952300
2015-05-19,41.23,41.39,41.13,41.31,9035100
2015-05-18,41.49,41.49,41.25,41.32,11442100
2015-05-15,41.45,41.69,41.43,41.52,8448900
2015-05-14,41.30,41.60,41.26,41.50,9769400
2015-05-13,40.75,41.36,40.72,41.05,13128700
2015-05-12,40.77,40.96,40.52,40.69,11863000
2015-05-11,40.98,41.39,40.88,40.94,10100600
2015-05-08,41.00,41.17,40.85,40.98,11097500
2015-05-07,40.53,40.91,40.51,40.70,13794700
2015-05-06,41.04,41.09,40.39,40.66,11709600
2015-05-05,41.14,41.14,40.68,40.75,11677600
2015-05-04,40.88,41.10,40.77,40.96,10167700
2015-05-01,40.58,40.93,40.50,40.91,10780400
2015-04-30,40.40,40.58,40.28,40.56,12270900
2015-04-29,40.66,40.75,40.40,40.49,11321300
2015-04-28,40.95,40.97,40.60,40.77,12027400
2015-04-27,41.00,41.15,40.78,40.83,10007400
2015-04-24,41.04,41.12,40.81,40.89,11528400
2015-04-23,41.23,41.41,40.92,40.95,17376600
2015-04-22,41.56,41.57,41.07,41.31,26765800
2015-04-21,40.67,40.99,40.54,40.78,19593600
2015-04-20,40.42,40.90,40.41,40.66,13023700
2015-04-17,40.47,40.66,40.10,40.30,15214700
2015-04-16,40.41,40.86,40.30,40.60,13039500
2015-04-15,40.59,40.81,40.32,40.40,11154500
2015-04-14,40.59,40.65,40.32,40.51,11209700
2015-04-13,40.97,40.97,40.70,40.70,9616300
2015-04-10,41.09,41.16,40.85,40.88,8720000
2015-04-09,40.80,41.08,40.63,41.05,12710900
2015-04-08,40.98,41.09,40.74,40.89,8954700
2015-04-07,41.05,41.37,40.97,41.01,9773400
2015-04-06,40.77,41.61,40.59,41.17,19843400
2015-04-02,40.73,40.87,40.48,40.68,14343100
2015-04-01,40.79,40.81,40.23,40.68,14300700
2015-03-31,40.51,40.90,40.35,40.55,16604800
2015-03-30,40.11,40.61,39.94,40.51,12561400
2015-03-27,40.48,40.48,39.97,40.08,14384400
2015-03-26,40.34,40.56,40.23,40.35,17359600
2015-03-25,40.59,40.70,40.24,40.45,22811300
2015-03-24,40.91,40.99,40.47,40.47,13485700
2015-03-23,40.64,40.94,40.50,40.62,17060500
2015-03-20,40.07,40.66,40.01,40.65,31608500
2015-03-19,40.48,40.52,39.96,40.02,16057600
2015-03-18,40.48,40.79,39.80,40.60,26247500
2015-03-17,40.67,40.73,40.32,40.51,21661800
2015-03-16,40.00,40.35,39.99,40.29,15238800
2015-03-13,40.44,40.57,39.61,39.91,17438400
2015-03-12,40.10,40.57,40.02,40.57,17728700
2015-03-11,40.73,40.73,40.08,40.10,18549700
2015-03-10,41.10,41.15,40.68,40.69,14599100
2015-03-09,41.53,41.55,41.32,41.39,10123300
2015-03-06,42.12,42.20,41.33,41.52,18180500
2015-03-05,42.56,42.61,42.25,42.40,9223000
2015-03-04,42.92,42.98,42.47,42.50,16263000
2015-03-03,43.11,43.16,42.84,42.95,10036300
2015-03-02,43.30,43.30,43.08,43.20,13514600
2015-02-27,42.52,43.66,42.47,43.30,28312800
2015-02-26,42.04,42.55,41.97,42.46,14346500
2015-02-25,42.17,42.24,41.74,42.05,10323300
2015-02-24,41.85,42.33,41.77,42.13,12782700
2015-02-23,41.71,42.17,41.69,41.85,11830300
2015-02-20,42.04,42.11,41.64,41.97,15982400
2015-02-19,41.68,42.24,41.53,42.11,16578300
2015-02-18,41.75,41.80,41.47,41.73,9789800
2015-02-17,41.81,41.88,41.64,41.81,12804200
2015-02-13,42.02,42.23,41.76,41.99,10792100
2015-02-12,42.40,42.66,42.07,42.17,13818200
2015-02-11,42.10,42.49,41.70,42.37,20496300
2015-02-10,42.91,43.03,42.20,42.40,32184200
2015-02-09,41.38,41.45,41.04,41.23,13371100
2015-02-06,41.63,41.76,41.32,41.45,12108900
2015-02-05,41.80,41.82,41.51,41.79,11078500
2015-02-04,41.77,42.09,41.62,41.68,16400000
2015-02-03,41.75,41.85,41.37,41.63,13193100
2015-02-02,41.21,41.63,40.90,41.59,15197500
