Date	Open	High	Low	Close	Volume
2015-05-28	47.50	48.02	47.39	47.45	19283700
2015-05-27	46.82	47.77	46.62	47.61	27335600
2015-05-26	46.83	46.88	46.19	46.59	29581900
2015-05-22	47.30	47.35	46.82	46.90	25720600
2015-05-21	47.28	47.60	47.01	47.42	22410700
2015-05-20	47.39	47.93	47.27	47.58	25047900
2015-05-19	47.56	47.81	47.18	47.58	28574800
2015-05-18	47.98	48.22	47.61	48.01	24136500
2015-05-15	48.87	48.91	48.05	48.30	28642700
2015-05-14	48.03	48.82	48.03	48.72	32980900
2015-05-13	48.19	48.32	47.57	47.63	34184600
2015-05-12	46.85	47.68	46.42	47.35	29928300
2015-05-11	47.55	47.91	47.37	47.37	24609400
2015-05-08	47.55	47.98	47.52	47.75	35364900
2015-05-07	46.27	47.09	46.16	46.70	32971700
2015-05-06	47.57	47.77	46.02	46.28	52433000
2015-05-05	47.82	48.16	47.31	47.60	50369200
2015-05-04	48.37	48.87	48.18	48.24	34039500
2015-05-01	48.58	48.88	48.40	48.66	38937300
2015-04-30	48.70	49.54	48.60	48.64	64725500
2015-04-29	48.72	49.31	48.50	49.06	47804600
2015-04-28	47.78	49.21	47.70	49.16	60730800
2015-04-27	47.23	48.13	47.22	48.03	59248200
2015-04-24	45.66	48.14	45.65	47.87	130933700
2015-04-23	42.89	43.61	42.80	43.34	46309500
2015-04-22	42.67	43.13	42.55	42.99	25064300
2015-04-21	43.00	43.15	42.53	42.64	26013800
2015-04-20	41.73	43.17	41.68	42.91	46057700
2015-04-17	41.67	41.74	41.16	41.62	42387600
2015-04-16	41.95	42.34	41.82	42.16	22509700
2015-04-15	41.76	42.46	41.68	42.26	27343600
2015-04-14	41.80	42.03	41.39	41.65	24244400
2015-04-13	41.40	42.06	41.39	41.76	30276700
2015-04-10	41.63	41.95	41.41	41.72	28022000
2015-04-09	41.25	41.62	41.25	41.48	25723900
2015-04-08	41.46	41.69	41.04	41.42	24753400
2015-04-07	41.61	41.91	41.31	41.53	28809400
2015-04-06	40.34	41.78	40.18	41.55	39223700
2015-04-02	40.66	40.74	40.12	40.29	37487500
2015-04-01	40.60	40.76	40.31	40.72	36865300
2015-03-31	40.78	41.03	40.54	40.66	34887200
2015-03-30	41.10	41.54	40.91	40.96	35049700
2015-03-27	41.12	41.43	40.83	40.97	34401400
2015-03-26	41.22	41.61	40.92	41.21	37495600
2015-03-25	42.92	42.93	41.44	41.46	43469900
2015-03-24	42.78	43.17	42.75	42.90	25513300
2015-03-23	42.88	43.13	42.78	42.86	26246100
2015-03-20	42.56	42.98	42.49	42.88	71904500
2015-03-19	42.26	42.59	42.22	42.29	33879100
2015-03-18	41.43	42.83	41.33	42.50	44194800
2015-03-17	41.37	41.83	41.15	41.70	31673400
2015-03-16	41.47	41.64	41.28	41.56	35273500
2015-03-13	40.70	41.47	40.61	41.38	58007700
2015-03-12	41.33	41.65	40.86	41.02	59992500
2015-03-11	42.31	42.37	41.84	41.98	32215300
2015-03-10	42.35	42.71	42.03	42.03	39159700
2015-03-09	42.19	43.13	42.19	42.85	32108000
2015-03-06	43.00	43.11	42.15	42.36	36248800
2015-03-05	43.07	43.24	42.82	43.11	23193500
2015-03-04	43.01	43.21	42.88	43.06	25748700
2015-03-03	43.56	43.83	43.09	43.28	31748600
2015-03-02	43.67	44.19	43.55	43.88	31924000
2015-02-27	44.13	44.20	43.66	43.85	33807700
2015-02-26	43.99	44.23	43.89	44.06	28957300
2015-02-25	43.95	44.09	43.80	43.99	29759800
2015-02-24	44.15	44.30	43.92	44.09	25271700
2015-02-23	43.70	44.19	43.65	44.15	32518800
2015-02-20	43.51	43.88	43.29	43.86	29721100
2015-02-19	43.18	43.53	43.05	43.50	27603400
2015-02-18	43.63	43.70	43.39	43.53	27111700
2015-02-17	43.97	44.00	43.19	43.58	33695700
2015-02-13	43.38	43.87	43.15	43.87	40264900
2015-02-12	42.66	43.09	42.51	43.09	33268800
2015-02-11	42.65	42.65	42.21	42.38	38262500
2015-02-10	42.74	42.77	42.18	42.60	29670700
2015-02-09	42.24	42.74	42.21	42.36	31381100
2015-02-06	42.68	42.79	42.15	42.41	34311700
2015-02-05	42.22	42.64	41.86	42.45	36548200
2015-02-04	41.94	42.21	41.36	41.84	41614800
2015-02-03	41.63	41.93	41.05	41.60	52082400
2015-02-02	40.59	41.37	40.23	41.28	50352500
