Date	Open	High	Low	Close	Volume
2015-05-28	21.84	22.21	21.80	22.14	8191400
2015-05-27	20.87	21.94	20.80	21.84	10808300
2015-05-26	20.76	20.90	20.57	20.73	6493300
2015-05-22	20.94	21.02	20.81	20.86	5314800
2015-05-21	21.05	21.14	20.87	20.89	5992300
2015-05-20	21.05	21.30	21.02	21.04	4920600
2015-05-19	21.20	21.27	21.00	21.04	6345200
2015-05-18	21.25	21.40	21.15	21.27	8124300
2015-05-15	21.38	21.48	21.17	21.30	5395600
2015-05-14	21.01	21.40	20.96	21.29	7326300
2015-05-13	20.98	21.14	20.75	20.95	7713100
2015-05-12	20.48	21.00	20.47	20.83	9720000
2015-05-11	20.54	20.84	20.38	20.63	13603600
2015-05-08	21.01	21.84	20.49	20.83	28663800
2015-05-07	22.01	22.56	21.94	22.49	13364100
2015-05-06	22.15	22.36	21.81	22.10	7912100
2015-05-05	22.53	22.56	21.93	22.03	7323200
2015-05-04	22.73	22.88	22.54	22.61	5018000
2015-05-01	22.38	22.82	22.28	22.75	6424200
2015-04-30	22.03	22.31	21.98	22.20	5471100
2015-04-29	22.15	22.37	22.05	22.14	4878900
2015-04-28	22.16	22.39	21.95	22.31	5862100
2015-04-27	22.10	22.59	21.91	22.20	6211400
2015-04-24	22.21	22.22	21.78	22.03	6024000
2015-04-23	21.90	22.43	21.65	22.22	6484500
2015-04-22	22.19	22.34	21.85	22.31	5185500
2015-04-21	22.36	22.36	21.95	22.06	5761400
2015-04-20	22.30	22.44	22.05	22.09	5790600
2015-04-17	22.02	22.42	22.01	22.20	7340900
2015-04-16	22.50	22.69	22.33	22.49	3882100
2015-04-15	22.42	22.80	22.31	22.63	6089000
2015-04-14	22.46	22.55	22.14	22.36	5506900
2015-04-13	22.71	22.84	22.45	22.55	5918100
2015-04-10	22.55	22.77	22.47	22.76	6468200
2015-04-09	21.85	22.60	21.84	22.53	9485800
2015-04-08	21.88	22.10	21.67	22.02	9160800
2015-04-07	21.67	22.10	21.55	21.86	10349100
2015-04-06	20.97	21.74	20.75	21.67	12896600
2015-04-02	21.13	21.19	20.88	21.06	4805100
2015-04-01	21.01	21.08	20.65	21.01	8269200
2015-03-31	21.41	21.43	20.91	20.93	8931900
2015-03-30	21.48	21.58	21.20	21.47	6331300
2015-03-27	21.09	21.46	20.75	21.38	7957200
2015-03-26	20.61	21.06	20.46	20.97	7798000
2015-03-25	22.39	22.39	20.97	21.04	13563800
2015-03-24	22.64	22.80	22.30	22.40	8262000
2015-03-23	22.77	23.07	22.70	22.71	10650300
2015-03-20	23.41	23.61	23.19	23.47	11552100
2015-03-19	22.95	23.30	22.78	23.22	7768900
2015-03-18	23.25	23.37	22.66	22.87	10346100
2015-03-17	22.92	23.26	22.76	23.25	7497500
2015-03-16	22.88	23.11	22.73	22.97	5923900
2015-03-13	22.56	22.76	22.25	22.70	8982200
2015-03-12	22.66	22.83	22.24	22.67	10174300
2015-03-11	23.00	23.30	22.82	22.88	6553000
2015-03-10	22.71	23.15	22.67	23.00	13180300
2015-03-09	22.56	22.78	22.51	22.61	5559700
2015-03-06	22.73	22.84	22.53	22.55	6434800
2015-03-05	22.43	22.90	22.37	22.86	8076400
2015-03-04	22.10	22.48	22.01	22.43	5671000
2015-03-03	22.43	22.54	22.11	22.18	4008600
2015-03-02	22.00	22.72	21.97	22.60	7537800
2015-02-27	22.14	22.19	21.98	22.06	3937300
2015-02-26	22.16	22.33	22.02	22.20	3821600
2015-02-25	22.22	22.32	22.04	22.14	3095500
2015-02-24	22.16	22.31	21.96	22.31	3733900
2015-02-23	22.33	22.33	22.05	22.16	3125200
2015-02-20	22.16	22.35	22.00	22.34	3943800
2015-02-19	22.40	22.44	22.08	22.18	4235800
2015-02-18	22.35	22.39	22.08	22.12	4273700
2015-02-17	22.27	22.49	22.13	22.38	5083500
2015-02-13	22.25	22.34	21.91	22.31	7752100
2015-02-12	22.00	22.50	21.87	22.30	16922600
2015-02-11	21.00	21.00	20.67	20.81	8020800
2015-02-10	20.40	20.96	20.31	20.95	5655100
2015-02-09	20.28	20.44	20.15	20.38	6848600
2015-02-06	20.47	20.71	20.31	20.40	5231900
2015-02-05	20.18	20.50	20.16	20.49	3511200
2015-02-04	20.05	20.39	19.99	20.16	4537900
2015-02-03	19.76	20.13	19.66	20.11	4586700
2015-02-02	19.32	19.70	18.94	19.62	6490100
