Date	Open	High	Low	Close	Volume
2015-05-28	44.08	44.25	43.64	43.86	7266200
2015-05-27	43.54	44.25	43.41	44.14	11094500
2015-05-26	43.74	43.83	43.15	43.33	10412900
2015-05-22	44.20	44.27	43.88	43.93	7280500
2015-05-21	44.22	44.45	43.95	44.28	8034200
2015-05-20	44.22	44.60	44.09	44.29	8992600
2015-05-19	44.42	44.46	44.16	44.32	8636000
2015-05-18	43.94	44.41	43.88	44.24	6043100
2015-05-15	44.41	44.44	43.94	44.15	9328400
2015-05-14	44.11	44.40	44.00	44.38	7276200
2015-05-13	43.76	44.07	43.62	43.79	7448700
2015-05-12	43.65	43.69	43.28	43.57	8515100
2015-05-11	43.97	44.20	43.60	43.84	7426300
2015-05-08	43.83	44.24	43.69	44.01	9166900
2015-05-07	43.17	43.66	43.02	43.48	8780900
2015-05-06	44.20	44.24	43.00	43.26	12720900
2015-05-05	44.47	44.62	43.89	43.92	11410200
2015-05-04	44.55	44.85	44.24	44.59	9164000
2015-05-01	43.44	44.38	43.44	44.37	11139800
2015-04-30	44.05	44.41	43.51	43.62	19982700
2015-04-29	44.40	44.90	43.68	44.73	36535000
2015-04-28	43.71	44.58	43.45	44.50	18280500
2015-04-27	43.10	43.95	43.07	43.61	12908200
2015-04-24	43.41	43.58	42.75	43.08	17765100
2015-04-23	43.51	43.63	42.99	43.39	10491300
2015-04-22	43.51	43.75	43.34	43.55	7325100
2015-04-21	43.51	43.87	43.40	43.42	9304400
2015-04-20	43.31	43.81	43.25	43.32	10426300
2015-04-17	43.06	43.40	42.86	43.00	12439300
2015-04-16	43.69	43.96	43.25	43.46	11861500
2015-04-15	42.95	44.19	42.83	43.99	18173900
2015-04-14	43.04	43.06	42.51	42.73	10510500
2015-04-13	43.55	43.79	43.03	43.08	10943400
2015-04-10	43.08	43.89	43.08	43.51	12542800
2015-04-09	42.97	43.31	42.74	43.20	9399500
2015-04-08	42.85	43.34	42.85	43.11	6947100
2015-04-07	42.99	43.48	42.94	42.96	8075400
2015-04-06	42.28	43.10	42.21	42.96	9766500
2015-04-02	42.99	43.11	42.48	42.62	11183900
2015-04-01	42.99	43.12	42.72	42.94	12050900
2015-03-31	43.31	43.57	43.13	43.15	13264200
2015-03-30	43.23	43.63	43.12	43.44	12730100
2015-03-27	42.93	43.12	42.42	42.64	18030800
2015-03-26	42.78	43.23	42.46	42.99	14065600
2015-03-25	43.68	43.75	42.93	42.93	17491000
2015-03-24	44.33	44.50	43.71	43.71	14913400
2015-03-23	44.34	44.62	44.16	44.25	10749200
2015-03-20	44.13	44.73	44.06	44.41	20724700
2015-03-19	44.00	44.49	44.00	44.16	15729600
2015-03-18	44.30	44.94	43.35	44.13	37900300
2015-03-17	43.11	43.34	42.86	42.87	21509000
2015-03-16	42.82	43.53	42.74	43.41	17423200
2015-03-13	41.54	42.47	41.51	42.38	18405400
2015-03-12	41.46	41.76	41.26	41.62	13716700
2015-03-11	41.93	42.16	41.41	41.47	11108800
2015-03-10	42.24	42.55	41.78	41.82	13960700
2015-03-09	42.25	42.79	42.19	42.69	11474200
2015-03-06	43.61	43.61	42.30	42.38	15086600
2015-03-05	43.66	43.89	43.26	43.80	10983500
2015-03-04	43.20	43.66	42.82	43.61	14697600
2015-03-03	43.83	43.88	43.17	43.38	10058700
2015-03-02	43.81	44.04	43.48	44.03	11091000
2015-02-27	43.77	44.11	43.68	43.82	9549500
2015-02-26	43.80	44.15	43.71	43.89	8519300
2015-02-25	43.83	44.09	43.38	43.73	11785400
2015-02-24	43.79	43.96	43.38	43.88	10522500
2015-02-23	43.46	43.88	43.30	43.78	10995500
2015-02-20	44.06	44.09	43.46	43.77	14731200
2015-02-19	44.13	44.37	44.00	44.11	8465700
2015-02-18	43.71	44.11	43.65	44.10	8661100
2015-02-17	43.67	43.90	43.54	43.84	10118600
2015-02-13	43.80	44.23	43.80	43.93	10155700
2015-02-12	43.48	44.06	43.41	43.89	12519700
2015-02-11	43.96	44.00	43.09	43.36	12836900
2015-02-10	43.79	44.06	43.56	43.99	12714800
2015-02-09	42.63	43.63	42.63	43.40	12705700
2015-02-06	43.26	43.47	42.88	42.98	9404500
2015-02-05	42.50	43.24	42.50	43.16	9630300
2015-02-04	42.97	43.16	42.32	42.42	12912000
2015-02-03	42.94	43.14	42.54	43.04	12657100
2015-02-02	42.21	42.71	41.56	42.68	16889500
