Date,Open,High,Low,Close,Volume
2015-05-28,34.46,34.53,34.27,34.44,15756600
2015-05-27,34.21,34.47,34.07,34.30,21969200
2015-05-26,34.18,34.34,34.03,34.11,18748900
2015-05-22,34.32,34.49,34.23,34.28,12956300
2015-05-21,34.23,34.49,34.21,34.36,18057100
2015-05-20,34.30,34.49,34.27,34.30,15292600
2015-05-19,33.87,34.39,33.84,34.21,20842800
2015-05-18,33.98,34.06,33.90,33.98,24607400
2015-05-15,34.00,34.06,33.92,33.99,16773100
2015-05-14,33.71,33.99,33.66,33.94,17874100
2015-05-13,33.77,33.80,33.48,33.53,23628400
2015-05-12,33.81,33.96,33.72,33.78,17782400
2015-05-11,34.09,34.26,33.94,33.96,26469500
2015-05-08,33.81,34.15,33.80,34.02,20411800
2015-05-07,33.44,33.75,33.33,33.58,21508500
2015-05-06,33.75,33.90,33.21,33.46,26859500
2015-05-05,34.37,34.43,34.01,34.12,22382200
2015-05-04,34.11,34.51,34.05,34.32,23590400
2015-05-01,33.86,34.21,33.86,34.08,21543400
2015-04-30,34.11,34.23,33.71,33.93,27709100
2015-04-29,34.17,34.46,33.95,34.29,37545400
2015-04-28,34.74,34.88,34.15,34.48,46166800
2015-04-27,35.34,35.46,34.42,34.59,42492100
2015-04-24,35.20,35.40,35.05,35.27,22801300
2015-04-23,34.89,35.40,34.82,35.36,22705900
2015-04-22,34.82,35.09,34.80,34.93,14566300
2015-04-21,35.10,35.40,34.80,34.89,22065400
2015-04-20,35.04,35.24,34.94,35.01,22402800
2015-04-17,35.00,35.07,34.78,35.04,28715000
2015-04-16,35.07,35.29,35.02,35.19,19580400
2015-04-15,35.40,35.47,35.12,35.21,29576100
2015-04-14,35.05,35.31,34.91,35.03,15981700
2015-04-13,35.35,35.53,35.01,35.09,34303200
2015-04-10,34.92,35.47,34.90,35.44,24353700
2015-04-09,34.64,35.06,34.38,35.03,29283200
2015-04-08,34.51,34.84,34.42,34.64,22974500
2015-04-07,34.63,34.89,34.51,34.54,14331200
2015-04-06,34.42,34.81,34.23,34.48,21480500
2015-04-02,34.42,34.63,34.22,34.38,25111800
2015-04-01,34.84,34.84,34.11,34.33,32242900
2015-03-31,34.89,35.13,34.76,34.79,26506600
2015-03-30,34.60,35.22,34.55,35.00,25512700
2015-03-27,34.44,34.60,34.23,34.53,22840400
2015-03-26,34.11,34.40,33.95,34.16,24826900
2015-03-25,34.61,35.00,34.27,34.30,29206100
2015-03-24,34.94,35.00,34.50,34.52,33163100
2015-03-23,34.51,35.45,34.49,35.05,50806000
2015-03-20,34.13,34.47,33.98,34.25,59160700
2015-03-19,34.28,34.38,34.07,34.15,20437400
2015-03-18,34.03,34.50,33.75,34.38,33133900
2015-03-17,34.12,34.30,33.94,34.17,20632600
2015-03-16,34.08,34.56,33.96,34.44,29047100
2015-03-13,33.92,34.00,33.70,34.00,28080500
2015-03-12,33.81,34.06,33.78,34.00,28177500
2015-03-11,33.98,34.10,33.63,33.63,25613700
2015-03-10,33.83,34.13,33.66,33.78,38277700
2015-03-09,33.87,34.18,33.66,34.03,31174600
2015-03-06,34.25,34.46,33.75,33.97,39924600
2015-03-05,34.73,34.81,34.40,34.47,23451000
2015-03-04,34.49,34.77,34.26,34.64,19387700
2015-03-03,34.75,34.89,34.41,34.56,24045200
2015-03-02,34.32,34.80,34.06,34.77,21352000
2015-02-27,34.44,34.66,34.29,34.32,24388900
2015-02-26,34.47,34.72,34.38,34.59,19902800
2015-02-25,34.25,34.79,33.93,34.66,37220000
2015-02-24,34.22,34.34,34.08,34.34,19357500
2015-02-23,34.11,34.52,34.06,34.39,23134600
2015-02-20,34.27,34.58,34.10,34.56,26285600
2015-02-19,34.33,34.47,34.11,34.41,26658400
2015-02-18,34.58,34.58,34.24,34.48,21626200
2015-02-17,34.54,34.84,34.47,34.58,22867200
2015-02-13,34.70,34.95,34.51,34.64,23389600
2015-02-12,34.28,34.97,34.23,34.87,43656800
2015-02-11,34.00,34.51,34.00,34.25,39444600
2015-02-10,33.48,34.22,33.41,34.15,59424400
2015-02-09,32.98,33.36,32.85,33.07,30584800
2015-02-06,32.96,33.42,32.73,33.17,34639800
2015-02-05,33.04,33.20,32.60,32.99,59443700
2015-02-04,31.97,32.27,31.72,32.07,36690100
2015-02-03,31.84,32.16,31.46,32.02,33003100
2015-02-02,31.44,31.65,31.02,31.65,23292200
