Date	Open	High	Low	Close	Volume
2015-05-28	79.43	79.45	79.02	79.33	5796000
2015-05-27	79.22	79.94	79.09	79.39	8087700
2015-05-26	79.97	80.07	78.94	79.14	6582200
2015-05-22	80.24	80.40	79.92	79.95	5985900
2015-05-21	80.17	80.58	79.84	80.41	6054700
2015-05-20	80.93	81.00	80.45	80.48	5418200
2015-05-19	80.75	80.95	80.33	80.83	5708100
2015-05-18	80.97	81.13	80.50	80.74	5578900
2015-05-15	80.83	81.12	80.73	81.05	7196700
2015-05-14	80.11	80.69	80.09	80.57	5622100
2015-05-13	80.16	80.59	79.55	79.70	6458400
2015-05-12	80.03	80.29	79.36	79.95	6284900
2015-05-11	80.95	80.99	80.26	80.27	5225200
2015-05-08	80.89	81.21	80.82	80.96	6899000
2015-05-07	80.37	80.55	80.00	80.20	7178400
2015-05-06	80.34	80.58	79.52	80.40	7327200
2015-05-05	80.50	80.65	79.78	80.07	6580200
2015-05-04	80.48	80.97	80.30	80.35	7189200
2015-05-01	79.76	80.32	79.63	80.29	7057300
2015-04-30	79.95	80.15	79.07	79.51	9196800
2015-04-29	80.00	80.31	79.72	79.85	11858500
2015-04-28	80.73	80.82	80.19	80.42	8395500
2015-04-27	80.91	81.20	80.47	80.60	9192300
2015-04-24	81.04	81.53	80.90	81.00	8785500
2015-04-23	81.42	82.10	80.90	80.95	14569500
2015-04-22	83.22	83.34	82.60	83.09	6753100
2015-04-21	83.39	83.80	82.90	83.08	7696400
2015-04-20	83.09	83.98	82.80	82.87	7416000
2015-04-17	83.00	83.22	82.03	82.53	9533800
2015-04-16	83.56	84.07	83.35	83.50	7615900
2015-04-15	83.85	84.20	83.48	83.51	7006400
2015-04-14	83.39	83.88	83.05	83.60	6792600
2015-04-13	83.00	83.95	82.94	83.43	8290500
2015-04-10	82.80	83.63	82.72	83.35	7001700
2015-04-09	82.63	82.95	82.01	82.89	6185000
2015-04-08	82.30	83.18	82.27	82.77	6523400
2015-04-07	82.93	83.29	82.33	82.39	6329900
2015-04-06	81.92	83.23	81.51	83.04	6856300
2015-04-02	82.17	82.59	81.92	82.43	6169800
2015-04-01	82.44	82.45	81.45	82.32	7395300
2015-03-31	82.76	82.93	81.94	81.94	8649700
2015-03-30	82.63	82.95	82.15	82.72	6416800
2015-03-27	82.08	82.54	81.99	82.31	6440600
2015-03-26	82.58	82.61	81.95	82.15	7311600
2015-03-25	84.37	84.37	82.86	83.01	8482200
2015-03-24	84.89	85.11	83.87	83.92	7478800
2015-03-23	84.37	85.05	84.36	84.86	9891100
2015-03-20	83.99	84.79	83.77	84.74	22580300
2015-03-19	83.46	83.75	83.12	83.38	9257500
2015-03-18	82.86	84.05	82.02	83.75	12607900
2015-03-17	83.36	83.37	82.43	82.85	7509300
2015-03-16	82.08	83.95	81.99	83.56	15618300
2015-03-13	81.98	82.28	81.15	81.83	7492500
2015-03-12	81.59	82.12	81.51	82.09	6951100
2015-03-11	81.53	81.78	80.81	81.39	10066600
2015-03-10	82.47	82.88	81.54	81.54	9681400
2015-03-09	82.79	83.21	82.68	83.09	7326700
2015-03-06	84.34	84.37	82.37	82.66	11338700
2015-03-05	84.62	84.76	84.09	84.63	5914200
2015-03-04	85.04	85.24	84.21	84.35	7370000
2015-03-03	85.35	85.44	84.54	85.16	6095600
2015-03-02	85.13	85.41	84.84	85.41	7235200
2015-02-27	85.02	85.38	84.57	85.13	7685000
2015-02-26	85.42	85.76	84.89	85.17	7964500
2015-02-25	85.70	85.80	85.24	85.46	5975800
2015-02-24	85.51	85.74	85.01	85.50	6502200
2015-02-23	84.96	85.50	84.65	85.39	7919200
2015-02-20	84.95	85.05	84.19	84.87	9581300
2015-02-19	86.11	86.30	85.05	85.21	7271600
2015-02-18	85.76	86.39	85.52	86.26	8132300
2015-02-17	86.06	86.06	85.00	85.49	10310400
2015-02-13	86.03	86.15	85.50	85.90	6272000
2015-02-12	86.06	86.15	85.41	86.03	6074600
2015-02-11	85.95	86.20	85.15	85.64	7184600
2015-02-10	85.33	85.57	84.82	85.39	7059300
2015-02-09	85.31	85.43	84.59	85.05	8811500
2015-02-06	86.56	86.61	85.15	85.61	8330800
2015-02-05	86.24	86.78	86.10	86.70	6531300
2015-02-04	85.89	86.48	85.55	85.79	9212800
2015-02-03	85.95	86.00	85.12	85.95	10747900
2015-02-02	84.58	85.14	83.68	85.12	10278700
