Date	Open	High	Low	Close	Volume
2015-05-28	31.02	31.27	30.95	31.18	1727500
2015-05-27	31.30	31.35	31.03	31.24	1011300
2015-05-26	31.87	31.88	31.45	31.63	1238400
2015-05-22	31.69	31.87	31.66	31.72	1055400
2015-05-21	31.84	31.86	31.67	31.81	979700
2015-05-20	32.39	32.42	32.12	32.17	940500
2015-05-19	32.95	32.95	32.57	32.61	1594000
2015-05-18	32.58	32.65	32.40	32.45	646900
2015-05-15	32.58	32.77	32.44	32.74	1598700
2015-05-14	32.00	32.21	31.92	32.19	2221000
2015-05-13	32.43	32.45	31.85	32.00	3729700
2015-05-12	31.72	31.76	31.47	31.51	2997000
2015-05-11	31.13	31.20	30.82	30.84	890300
2015-05-08	30.51	30.74	30.47	30.64	958500
2015-05-07	30.11	30.34	30.06	30.30	998600
2015-05-06	30.27	30.35	29.77	29.96	1977500
2015-05-05	30.91	31.06	30.32	30.33	1653600
2015-05-04	30.91	31.22	30.90	31.15	1223000
2015-05-01	30.31	31.10	30.30	30.91	1365100
2015-04-30	30.30	30.37	29.78	30.23	1245600
2015-04-29	30.74	30.92	30.44	30.70	1089200
2015-04-28	30.88	31.09	30.80	31.01	957100
2015-04-27	31.33	31.39	31.13	31.19	1472600
2015-04-24	31.45	31.53	31.18	31.34	3291100
2015-04-23	30.23	30.99	30.17	30.72	4135100
2015-04-22	32.10	32.60	31.98	32.35	3774300
2015-04-21	30.92	30.95	30.72	30.88	1867500
2015-04-20	30.46	30.51	30.25	30.36	1042700
2015-04-17	29.77	30.17	29.70	30.01	3535300
2015-04-16	30.90	31.18	30.83	31.08	2524300
2015-04-15	31.63	31.77	31.39	31.75	4385700
2015-04-14	31.28	31.35	30.85	31.13	2717100
2015-04-13	30.46	30.65	30.31	30.37	1395200
2015-04-10	30.55	30.69	30.43	30.56	2192900
2015-04-09	29.74	30.01	29.52	29.90	1658100
2015-04-08	29.39	29.59	29.33	29.52	1370300
2015-04-07	29.29	29.29	28.92	28.97	1581700
2015-04-06	29.23	29.58	29.11	29.35	2452800
2015-04-02	27.91	27.98	27.76	27.85	1661400
2015-04-01	27.46	27.47	27.00	27.26	1918600
2015-03-31	26.70	26.83	26.59	26.78	1751300
2015-03-30	27.06	27.14	27.02	27.09	1368800
2015-03-27	26.66	26.83	26.66	26.78	839300
2015-03-26	26.37	26.63	26.34	26.54	1129900
2015-03-25	27.42	27.46	26.64	26.69	2656900
2015-03-24	27.68	27.74	27.52	27.57	943800
2015-03-23	27.88	27.97	27.77	27.78	1253400
2015-03-20	27.95	28.10	27.74	27.91	1455200
2015-03-19	28.00	28.04	27.71	27.85	1054600
2015-03-18	27.95	28.30	27.73	28.11	2444300
2015-03-17	27.15	27.17	26.54	26.75	1860100
2015-03-16	25.73	25.88	25.68	25.82	2378800
2015-03-13	26.63	26.63	26.41	26.56	1511000
2015-03-12	27.02	27.15	27.02	27.13	1190100
2015-03-11	26.80	26.89	26.74	26.84	1519100
2015-03-10	26.64	26.71	26.53	26.57	1540000
2015-03-09	27.15	27.31	27.09	27.27	1011200
2015-03-06	27.74	27.79	27.49	27.51	1421800
2015-03-05	27.98	28.14	27.93	28.06	1216800
2015-03-04	27.81	27.92	27.62	27.89	1003900
2015-03-03	27.96	27.99	27.73	27.83	1238200
2015-03-02	27.95	28.13	27.89	28.11	1209700
2015-02-27	28.50	28.65	28.31	28.32	1668400
2015-02-26	28.03	28.27	28.00	28.13	1228700
2015-02-25	27.60	27.83	27.57	27.69	983100
2015-02-24	27.46	27.81	27.43	27.74	1686300
2015-02-23	27.05	27.09	26.94	27.03	1468400
2015-02-20	27.01	27.31	26.89	27.26	2266200
2015-02-19	27.26	27.49	27.15	27.37	2576200
2015-02-18	27.01	28.12	26.89	28.02	5021600
2015-02-17	26.38	26.66	26.30	26.60	2228800
2015-02-13	27.21	27.46	27.20	27.30	1552200
2015-02-12	26.68	27.14	26.67	27.11	2915700
2015-02-11	25.89	26.16	25.89	26.10	1556900
2015-02-10	25.90	26.13	25.77	26.06	2161800
2015-02-09	25.69	25.85	25.64	25.69	2391900
2015-02-06	26.61	26.80	26.52	26.57	1929500
2015-02-05	26.55	26.98	26.50	26.82	3566500
2015-02-04	24.88	26.55	24.58	25.94	9220200
2015-02-03	23.15	23.40	23.14	23.39	2044200
2015-02-02	22.96	23.37	22.91	23.33	1627100
