Date	Open	High	Low	Close	Volume
2015-05-28	34.96	34.97	34.64	34.80	19558600
2015-05-27	34.75	35.10	34.60	34.95	36605900
2015-05-26	34.60	34.76	34.26	34.67	40632400
2015-05-22	34.89	35.03	34.62	34.71	26315400
2015-05-21	34.55	35.22	34.52	35.07	41560400
2015-05-20	34.43	34.71	34.29	34.62	27280100
2015-05-19	34.79	34.85	34.17	34.37	38252600
2015-05-18	34.28	35.02	34.26	34.87	59609300
2015-05-15	34.11	34.39	34.01	34.33	28239100
2015-05-14	34.08	34.20	34.00	34.13	23887400
2015-05-13	33.63	34.14	33.57	33.90	34705500
2015-05-12	33.31	33.94	33.03	33.66	41255000
2015-05-11	33.65	33.70	33.38	33.49	21475700
2015-05-08	33.72	33.83	33.59	33.69	27607100
2015-05-07	33.25	33.56	33.11	33.37	22637400
2015-05-06	33.71	33.79	33.08	33.38	30635400
2015-05-05	34.49	34.58	33.66	33.72	31753600
2015-05-04	34.41	34.71	34.25	34.53	21288400
2015-05-01	34.56	34.72	34.13	34.42	34149800
2015-04-30	34.70	34.90	34.55	34.64	29269800
2015-04-29	34.58	35.23	34.54	34.76	40684000
2015-04-28	34.28	34.99	34.17	34.86	48302600
2015-04-27	34.05	34.30	34.04	34.09	24392200
2015-04-24	34.21	34.32	33.96	34.01	41978400
2015-04-23	33.45	34.40	33.33	34.23	91136400
2015-04-22	32.78	32.89	32.55	32.86	28471500
2015-04-21	32.84	32.85	32.58	32.66	19711000
2015-04-20	32.65	32.87	32.65	32.83	24314600
2015-04-17	32.65	32.70	32.37	32.51	29660300
2015-04-16	32.76	32.90	32.70	32.75	17547600
2015-04-15	32.71	32.96	32.64	32.89	19851700
2015-04-14	32.92	32.93	32.62	32.69	18265100
2015-04-13	32.76	33.07	32.70	32.88	22731000
2015-04-10	32.77	32.83	32.65	32.77	15063600
2015-04-09	32.58	32.79	32.44	32.69	21073700
2015-04-08	32.73	32.85	32.57	32.65	21381200
2015-04-07	33.35	33.45	33.16	33.16	24005000
2015-04-06	33.15	33.41	33.06	33.33	22972500
2015-04-02	32.90	33.23	32.82	33.13	19273900
2015-04-01	32.62	32.91	32.54	32.89	25365000
2015-03-31	32.97	33.03	32.65	32.65	27900200
2015-03-30	32.82	33.04	32.80	32.97	18904300
2015-03-27	32.94	32.95	32.70	32.75	20852700
2015-03-26	32.63	33.13	32.61	32.82	30624200
2015-03-25	33.02	33.11	32.62	32.62	29163100
2015-03-24	33.23	33.42	33.07	33.07	20127200
2015-03-23	33.37	33.68	33.28	33.28	23983800
2015-03-20	33.27	33.60	33.21	33.23	38651800
2015-03-19	33.51	33.51	33.18	33.20	19913700
2015-03-18	32.93	33.59	32.69	33.59	47849300
2015-03-17	32.85	33.12	32.77	32.90	23903200
2015-03-16	32.79	33.10	32.68	33.06	20531500
2015-03-13	32.99	33.03	32.60	32.76	26808000
2015-03-12	32.84	33.21	32.70	33.13	27016800
2015-03-11	32.88	32.89	32.52	32.62	29021600
2015-03-10	33.26	33.26	32.75	32.78	32469500
2015-03-09	33.45	33.59	33.31	33.35	19465200
2015-03-06	33.58	33.77	33.37	33.48	39761500
2015-03-05	34.15	34.20	33.99	34.00	14524100
2015-03-04	34.45	34.45	33.97	34.00	23392300
2015-03-03	34.53	34.65	34.35	34.41	20202400
2015-03-02	34.56	34.65	34.21	34.64	21637600
2015-02-27	34.42	34.58	34.38	34.56	19863600
2015-02-26	34.12	34.59	34.06	34.50	23156200
2015-02-25	34.13	34.22	33.98	34.21	17838200
2015-02-24	33.75	34.12	33.60	34.05	19382000
2015-02-23	33.97	34.05	33.74	33.85	23418800
2015-02-20	34.06	34.08	33.82	34.08	21282000
2015-02-19	34.48	34.48	34.03	34.09	18916000
2015-02-18	34.73	34.73	34.35	34.49	17098600
2015-02-17	34.60	34.73	34.45	34.71	19254600
2015-02-13	34.55	34.73	34.37	34.66	16082400
2015-02-12	34.41	34.62	34.24	34.61	19865600
2015-02-11	34.79	34.83	34.25	34.39	31904300
2015-02-10	34.86	35.07	34.79	34.85	19874100
2015-02-09	34.71	34.91	34.59	34.64	20110600
2015-02-06	34.49	35.05	34.41	34.87	27513600
2015-02-05	34.49	34.60	34.32	34.54	19076400
2015-02-04	34.33	34.75	34.23	34.41	29862300
2015-02-03	33.66	34.34	33.65	34.34	41631400
2015-02-02	33.31	33.62	32.80	33.56	37289500
