Date	Open	High	Low	Close	Volume
2015-05-28	36.49	37.33	36.37	36.83	17858900
2015-05-27	36.50	36.65	36.10	36.41	14444300
2015-05-26	36.67	36.83	36.37	36.51	13026500
2015-05-22	36.70	36.98	36.57	36.60	9808800
2015-05-21	36.81	36.94	36.39	36.68	17413500
2015-05-20	37.49	37.94	36.54	36.78	23280300
2015-05-19	37.14	37.88	36.90	37.50	26903000
2015-05-18	37.10	37.57	36.90	37.28	11207300
2015-05-15	37.36	37.80	37.00	37.10	16759500
2015-05-14	37.93	38.09	37.27	37.33	14193800
2015-05-13	37.66	38.20	37.53	37.72	14041200
2015-05-12	37.29	37.80	37.06	37.48	11745200
2015-05-11	37.58	37.86	37.20	37.31	12272700
2015-05-08	38.02	38.20	37.55	37.59	14318400
2015-05-07	37.24	37.88	36.95	37.71	21203700
2015-05-06	37.69	37.78	36.52	37.26	29018600
2015-05-05	38.00	38.61	37.36	37.42	22485400
2015-05-04	38.72	38.96	37.55	37.88	27567200
2015-05-01	39.19	39.24	37.37	37.84	37525500
2015-04-30	39.28	39.74	38.48	38.96	46436700
2015-04-29	40.21	41.09	38.07	38.49	119859000
2015-04-28	52.16	52.22	38.38	42.27	69342000
2015-04-27	50.84	52.54	50.82	51.66	23645200
2015-04-24	51.85	51.96	50.24	50.82	14633400
2015-04-23	51.87	52.20	51.22	51.41	11413500
2015-04-22	51.48	52.09	51.32	51.73	11364900
2015-04-21	51.68	51.85	51.10	51.32	8424900
2015-04-20	51.07	51.48	50.51	51.40	11004500
2015-04-17	51.71	52.16	50.19	50.66	16576000
2015-04-16	51.30	52.34	51.14	52.03	14244400
2015-04-15	51.33	51.87	50.91	51.30	13161400
2015-04-14	51.75	51.81	50.68	51.20	12231600
2015-04-13	51.99	52.29	51.45	51.62	12306500
2015-04-10	52.29	52.45	51.38	51.94	13271200
2015-04-09	52.15	52.99	51.54	52.17	17877700
2015-04-08	53.32	53.49	51.95	52.30	22368900
2015-04-07	51.01	53.28	50.86	52.87	37080800
2015-04-06	50.03	51.16	49.87	50.84	14539700
2015-04-02	50.64	50.95	49.88	50.42	13423900
2015-04-01	51.00	51.69	50.17	50.47	24299200
2015-03-31	49.62	51.24	49.54	50.08	23898400
2015-03-30	50.45	50.71	48.66	49.89	20365400
2015-03-27	50.35	50.89	49.94	50.01	14852400
2015-03-26	49.65	50.90	49.40	49.92	24385800
2015-03-25	51.50	51.87	49.31	49.50	31694600
2015-03-24	48.67	51.79	48.54	51.47	38181800
2015-03-23	48.24	49.25	47.87	48.46	16389800
2015-03-20	48.36	49.15	48.25	48.44	18676500
2015-03-19	46.96	48.15	46.45	47.93	15957100
2015-03-18	46.75	47.39	46.16	47.20	13115400
2015-03-17	46.66	47.29	46.44	46.93	13361300
2015-03-16	46.90	47.07	46.05	46.43	10243200
2015-03-13	46.94	47.72	46.45	46.66	13368100
2015-03-12	46.57	47.32	46.51	47.07	12204800
2015-03-11	45.66	46.74	45.13	46.27	12273800
2015-03-10	47.23	47.26	45.79	45.84	17289900
2015-03-09	47.22	48.08	47.13	47.59	13635900
2015-03-06	47.26	48.07	46.57	46.75	11534900
2015-03-05	47.59	48.43	47.20	47.35	13511900
2015-03-04	47.51	47.85	46.41	47.57	14290100
2015-03-03	48.13	48.80	47.44	47.71	16754400
2015-03-02	48.26	48.30	47.31	48.15	13430900
2015-02-27	49.19	49.90	47.96	48.08	15004500
2015-02-26	48.81	50.01	48.64	49.41	22340900
2015-02-25	48.80	49.18	48.25	48.55	11663200
2015-02-24	48.33	49.30	48.06	48.69	11073700
2015-02-23	49.02	49.24	48.35	48.47	12541400
2015-02-20	48.76	49.88	48.65	49.11	20755600
2015-02-19	47.84	48.94	47.42	48.70	18153400
2015-02-18	48.00	48.79	47.36	47.82	15503100
2015-02-17	48.20	49.09	47.89	48.03	16670200
2015-02-13	47.93	48.82	47.57	48.50	20809600
2015-02-12	47.98	48.45	46.88	47.95	23071600
2015-02-11	46.27	47.78	46.11	47.50	24747000
2015-02-10	47.35	47.39	45.57	46.26	32287800
2015-02-09	46.73	47.69	46.50	47.32	36177900
2015-02-06	46.12	48.50	45.80	48.01	102669800
2015-02-05	42.04	42.47	40.91	41.26	61997300
2015-02-04	40.05	40.83	39.82	40.72	23116800
2015-02-03	38.00	40.19	37.69	39.79	28395400
2015-02-02	37.70	38.07	36.92	37.46	13895900
