date	close
2015-05-28	36.83
2015-05-27	36.41
2015-05-26	36.51
2015-05-22	36.6
2015-05-21	36.68
2015-05-20	36.78
2015-05-19	37.5
2015-05-18	37.28
2015-05-15	37.1
2015-05-14	37.33
2015-05-13	37.72
2015-05-12	37.48
2015-05-11	37.31
2015-05-08	37.59
2015-05-07	37.71
2015-05-06	37.26
2015-05-05	37.42
2015-05-04	37.88
2015-05-01	37.84
2015-04-30	38.96
2015-04-29	38.49
2015-04-28	42.27
2015-04-27	51.66
2015-04-24	50.82
2015-04-23	51.41
2015-04-22	51.73
2015-04-21	51.32
2015-04-20	51.4
2015-04-17	50.66
2015-04-16	52.03
2015-04-15	51.3
2015-04-14	51.2
2015-04-13	51.62
2015-04-10	51.94
2015-04-09	52.17
2015-04-08	52.3
2015-04-07	52.87
2015-04-06	50.84
2015-04-02	50.42
2015-04-01	50.47
2015-03-31	50.08
2015-03-30	49.89
2015-03-27	50.01
2015-03-26	49.92
2015-03-25	49.5
2015-03-24	51.47
2015-03-23	48.46
2015-03-20	48.44
2015-03-19	47.93
2015-03-18	47.2
2015-03-17	46.93
2015-03-16	46.43
2015-03-13	46.66
2015-03-12	47.07
2015-03-11	46.27
2015-03-10	45.84
2015-03-09	47.59
2015-03-06	46.75
2015-03-05	47.35
2015-03-04	47.57
2015-03-03	47.71
2015-03-02	48.15
2015-02-27	48.08
2015-02-26	49.41
2015-02-25	48.55
2015-02-24	48.69
2015-02-23	48.47
2015-02-20	49.11
2015-02-19	48.7
2015-02-18	47.82
2015-02-17	48.03
2015-02-13	48.5
2015-02-12	47.95
2015-02-11	47.5
2015-02-10	46.26
2015-02-09	47.32
2015-02-06	48.01
2015-02-05	41.26
2015-02-04	40.72
2015-02-03	39.79
2015-02-02	37.46
