Date	Open	High	Low	Close	Volume
2015-05-28	49.47	49.65	49.38	49.54	8362100
2015-05-27	49.45	49.68	49.27	49.57	14322000
2015-05-26	49.58	49.75	49.21	49.42	17427600
2015-05-22	49.76	49.89	49.58	49.61	12283100
2015-05-21	49.68	50.10	49.67	49.90	15165500
2015-05-20	49.57	49.96	49.56	49.69	13530200
2015-05-19	49.53	49.58	49.32	49.55	15643700
2015-05-18	49.78	49.80	49.55	49.60	15031400
2015-05-15	50.01	50.09	49.65	49.79	14052500
2015-05-14	49.90	50.15	49.82	49.97	12069700
2015-05-13	49.64	49.98	49.50	49.73	16145200
2015-05-12	49.40	49.81	48.97	49.62	20397900
2015-05-11	50.14	50.28	49.79	49.80	9881200
2015-05-08	50.19	50.37	49.95	50.14	13227800
2015-05-07	49.60	49.85	49.32	49.73	10815400
2015-05-06	50.07	50.17	49.36	49.64	15460000
2015-05-05	50.69	50.69	50.06	50.09	12638600
2015-05-04	50.42	50.86	50.29	50.52	12573400
2015-05-01	50.75	50.77	50.05	50.41	13861100
2015-04-30	50.47	50.65	50.23	50.44	15289300
2015-04-29	50.45	50.61	50.14	50.47	13302700
2015-04-28	50.34	50.64	50.07	50.55	16010800
2015-04-27	50.00	50.33	50.00	50.08	16550300
2015-04-24	49.94	50.26	49.82	50.03	17151500
2015-04-23	49.62	50.20	49.45	50.05	22464200
2015-04-22	49.46	49.69	49.32	49.57	18588300
2015-04-21	48.97	49.40	48.46	49.17	33448700
2015-04-20	49.15	49.48	49.05	49.38	17062500
2015-04-17	48.98	49.12	48.70	48.90	18057600
2015-04-16	49.26	49.57	49.09	49.27	11667400
2015-04-15	49.15	49.50	49.05	49.39	11052300
2015-04-14	49.20	49.36	48.93	49.18	11956500
2015-04-13	49.27	49.51	49.04	49.04	12235700
2015-04-10	49.04	49.25	48.94	49.22	9241900
2015-04-09	48.91	49.18	48.67	49.01	10810900
2015-04-08	48.75	49.28	48.69	49.13	15498600
2015-04-07	49.81	49.81	49.25	49.27	11498700
2015-04-06	49.54	49.82	49.40	49.63	14130000
2015-04-02	48.89	49.60	48.86	49.47	13344200
2015-04-01	48.45	49.27	48.43	48.92	13573600
2015-03-31	49.09	49.15	48.58	48.63	12785700
2015-03-30	48.73	49.30	48.71	49.12	11157600
2015-03-27	48.48	48.72	48.34	48.56	11716500
2015-03-26	48.62	48.95	48.40	48.42	17919400
2015-03-25	49.38	49.41	48.72	48.73	14915500
2015-03-24	49.54	49.90	49.39	49.41	11419600
2015-03-23	49.78	49.85	49.45	49.64	13131700
2015-03-20	49.34	49.90	49.19	49.56	26280800
2015-03-19	49.23	49.50	49.00	49.30	13625000
2015-03-18	48.75	49.69	48.48	49.54	17978300
2015-03-17	49.01	49.30	48.87	48.95	15679200
2015-03-16	48.96	49.40	48.63	49.27	16111200
2015-03-13	48.50	48.93	48.47	48.84	20717400
2015-03-12	47.94	48.76	47.80	48.73	15806000
2015-03-11	47.57	48.03	47.36	47.68	14392800
2015-03-10	48.11	48.33	47.46	47.51	18764700
2015-03-09	48.26	48.62	48.18	48.23	13119000
2015-03-06	48.49	48.63	48.23	48.29	15644900
2015-03-05	49.18	49.22	48.81	48.92	9653500
2015-03-04	49.56	49.56	48.92	49.07	13870600
2015-03-03	49.49	49.69	49.28	49.55	11381400
2015-03-02	49.12	49.51	49.02	49.47	10914400
2015-02-27	49.22	49.66	49.05	49.45	17571200
2015-02-26	49.06	49.46	48.92	49.37	13581400
2015-02-25	49.32	49.40	49.03	49.20	11398900
2015-02-24	48.67	49.41	48.31	49.22	16307000
2015-02-23	48.94	49.00	48.54	48.77	12255700
2015-02-20	48.84	48.98	48.42	48.97	13481500
2015-02-19	48.74	49.14	48.74	48.91	11609800
2015-02-18	49.22	49.31	48.68	48.94	13513400
2015-02-17	48.95	49.32	48.89	49.18	15363700
2015-02-13	49.43	49.60	49.03	49.31	14619600
2015-02-12	49.86	49.99	49.25	49.52	20447300
2015-02-11	49.39	49.88	49.16	49.81	19402900
2015-02-10	49.25	49.56	49.01	49.51	15100800
2015-02-09	49.05	49.47	48.98	49.09	21052900
2015-02-06	48.25	49.76	48.00	49.33	47250700
2015-02-05	48.05	48.13	47.54	47.86	18762300
2015-02-04	47.67	48.31	47.66	47.80	19937400
2015-02-03	47.25	47.97	47.21	47.83	21481800
2015-02-02	46.20	47.15	45.76	46.98	23172300
