Date,Open,High,Low,Close,Volume
2015-05-28,56.11,56.30,55.89,56.21,8714900
2015-05-27,55.92,56.31,55.71,56.07,12462700
2015-05-26,55.97,56.00,55.46,55.66,15808500
2015-05-22,56.04,56.23,55.99,56.00,8556400
2015-05-21,55.91,56.18,55.83,56.01,13431500
2015-05-20,56.32,56.37,55.93,56.08,13272000
2015-05-19,55.90,56.70,55.89,56.40,16872700
2015-05-18,55.58,55.98,55.55,55.75,10502000
2015-05-15,56.04,56.04,55.30,55.52,13291700
2015-05-14,55.95,56.13,55.72,56.04,10930400
2015-05-13,55.47,55.83,55.37,55.60,11361500
2015-05-12,55.31,55.64,55.00,55.47,11569800
2015-05-11,55.92,55.96,55.44,55.51,12922100
2015-05-08,55.17,56.05,55.09,56.05,17477500
2015-05-07,54.96,55.19,54.61,54.81,14723100
2015-05-06,55.43,55.60,54.45,54.92,15670700
2015-05-05,55.73,56.20,55.60,55.72,17068100
2015-05-04,55.27,55.77,55.26,55.73,9981800
2015-05-01,55.26,55.58,54.96,55.19,12069400
2015-04-30,55.65,55.65,54.78,55.10,16577800
2015-04-29,55.17,55.76,55.08,55.46,18144500
2015-04-28,54.91,55.43,54.87,55.41,13028300
2015-04-27,54.79,55.50,54.71,54.97,19852400
2015-04-24,54.76,54.92,54.61,54.70,15268100
2015-04-23,54.41,55.12,54.41,54.86,14657800
2015-04-22,54.31,54.91,54.16,54.67,13563800
2015-04-21,54.55,54.85,54.19,54.28,10954200
2015-04-20,54.34,54.67,54.17,54.36,13327200
2015-04-17,54.41,54.56,53.98,54.05,17569700
2015-04-16,54.53,55.07,54.34,54.81,15643200
2015-04-15,54.37,54.91,54.19,54.81,16899900
2015-04-14,53.93,54.47,53.57,54.19,29289600
2015-04-13,54.33,54.73,54.28,54.59,14931600
2015-04-10,54.33,54.48,54.06,54.32,9531500
2015-04-09,54.06,54.29,53.73,54.19,10279400
2015-04-08,53.98,54.36,53.83,54.00,9828700
2015-04-07,54.28,54.39,53.98,54.02,10853700
2015-04-06,53.82,54.37,53.56,54.08,10786100
2015-04-02,53.95,54.48,53.82,54.37,13498900
2015-04-01,54.42,54.42,53.78,53.94,15436900
2015-03-31,54.47,54.69,54.19,54.40,13306200
2015-03-30,54.39,55.02,54.39,54.77,11706700
2015-03-27,54.54,54.60,53.96,54.12,13600300
2015-03-26,54.35,54.75,53.97,54.50,15038600
2015-03-25,55.26,55.36,54.54,54.54,15413700
2015-03-24,55.70,55.87,55.35,55.35,13927400
2015-03-23,56.03,56.29,55.73,55.78,16477400
2015-03-20,55.53,56.21,55.52,56.01,26487200
2015-03-19,55.95,55.98,55.24,55.51,14841100
2015-03-18,55.68,56.28,55.49,56.17,20000500
2015-03-17,55.50,55.98,55.26,55.91,13107700
2015-03-16,55.50,55.82,55.33,55.73,15505200
2015-03-13,55.49,55.65,55.02,55.34,17591400
2015-03-12,54.52,55.64,54.20,55.59,26266900
2015-03-11,53.87,53.99,53.60,53.70,16612900
2015-03-10,54.16,54.17,53.29,53.29,18723200
2015-03-09,54.78,55.01,54.63,54.67,11937900
2015-03-06,54.98,55.49,54.51,54.59,17298400
2015-03-05,54.94,55.01,54.65,54.84,9576100
2015-03-04,55.17,55.20,54.67,54.82,16653300
2015-03-03,55.45,55.58,55.14,55.45,11759600
2015-03-02,54.79,55.56,54.72,55.55,12988500
2015-02-27,54.82,55.28,54.79,54.79,12937000
2015-02-26,55.22,55.35,54.96,55.15,13579100
2015-02-25,55.39,55.58,55.24,55.33,10516900
2015-02-24,55.19,55.54,55.02,55.37,11957800
2015-02-23,54.68,55.11,54.27,55.10,13715000
2015-02-20,54.41,54.94,54.03,54.83,15049100
2015-02-19,54.41,54.82,54.13,54.56,10784600
2015-02-18,55.09,55.20,54.40,54.52,13231600
2015-02-17,55.31,55.46,54.95,55.37,11908600
2015-02-13,54.98,55.56,54.81,55.33,18809000
2015-02-12,54.19,54.90,53.97,54.86,20159500
2015-02-11,54.06,54.26,53.66,53.90,18296800
2015-02-10,54.62,54.71,54.22,54.57,12342500
2015-02-09,54.27,54.45,54.08,54.21,9739200
2015-02-06,54.12,55.08,53.83,54.45,19056900
2015-02-05,53.24,53.84,53.22,53.67,13281900
2015-02-04,53.03,53.50,52.90,53.03,14435600
2015-02-03,53.01,53.53,52.97,53.45,20258900
2015-02-02,52.19,52.91,51.99,52.81,17714500
