Date,Open,High,Low,Close,Volume
2015-05-28,75.07,75.16,74.65,74.84,4999000
2015-05-27,75.01,75.51,75.00,75.19,6953500
2015-05-26,75.77,75.83,74.82,74.90,10464100
2015-05-22,76.20,76.38,75.86,75.86,6803900
2015-05-21,75.80,76.42,75.56,76.11,6164800
2015-05-20,76.48,76.50,75.83,75.90,10486800
2015-05-19,78.18,78.36,76.23,76.43,22360100
2015-05-18,79.37,79.94,79.16,79.92,8237900
2015-05-15,78.71,79.25,78.57,79.24,6575800
2015-05-14,78.37,78.77,78.02,78.72,6125700
2015-05-13,79.18,79.43,77.98,78.16,7406200
2015-05-12,78.02,79.48,77.87,78.96,8435200
2015-05-11,78.32,78.61,78.03,78.10,3744900
2015-05-08,78.60,79.25,78.40,78.53,5347400
2015-05-07,77.73,78.34,77.30,78.03,5538100
2015-05-06,77.92,78.12,77.17,77.65,5480100
2015-05-05,79.01,79.01,78.06,78.13,5855400
2015-05-04,78.98,79.55,78.46,79.18,6669200
2015-05-01,78.20,78.76,78.17,78.60,4999700
2015-04-30,77.83,78.48,77.59,78.05,8795900
2015-04-29,78.70,78.79,77.79,77.88,7108400
2015-04-28,79.46,79.48,78.77,79.10,4895900
2015-04-27,79.77,79.86,79.29,79.37,6449800
2015-04-24,79.38,80.93,79.24,79.84,6867800
2015-04-23,78.38,79.54,78.20,79.18,7468900
2015-04-22,77.73,78.64,77.55,78.43,7594700
2015-04-21,78.61,78.84,77.91,78.03,6200200
2015-04-20,78.39,78.83,78.02,78.14,8847600
2015-04-17,78.94,79.15,77.55,77.88,11822800
2015-04-16,79.50,79.89,79.13,79.24,8015100
2015-04-15,80.58,80.98,79.65,79.74,6200400
2015-04-14,80.29,80.42,79.68,80.15,5531700
2015-04-13,80.40,80.92,80.27,80.29,4698100
2015-04-10,80.86,81.00,80.55,80.65,5480300
2015-04-09,80.84,81.39,80.58,80.84,3923600
2015-04-08,80.39,81.23,80.36,81.03,6694700
2015-04-07,81.09,81.29,80.46,80.50,6606100
2015-04-06,80.46,81.33,80.15,80.99,6380700
2015-04-02,80.73,81.32,80.55,80.73,5795700
2015-04-01,82.28,82.28,80.43,80.71,8306700
2015-03-31,82.39,83.04,82.25,82.25,5587700
2015-03-30,81.70,82.80,81.43,82.53,5701700
2015-03-27,81.85,82.18,81.25,81.35,5717400
2015-03-26,80.93,82.31,80.65,81.89,8267200
2015-03-25,83.09,83.25,81.31,81.32,6645900
2015-03-24,83.19,83.71,82.96,83.05,5359100
2015-03-23,83.18,83.90,83.12,83.31,6505700
2015-03-20,81.83,83.49,81.71,83.24,12365300
2015-03-19,82.33,82.44,81.37,81.52,7212900
2015-03-18,81.98,82.96,81.16,82.53,10252300
2015-03-17,82.98,83.01,82.24,82.62,4802000
2015-03-16,82.45,83.37,82.44,83.29,6519100
2015-03-13,81.95,82.25,81.29,81.90,4762200
2015-03-12,80.81,82.12,80.78,81.90,5225800
2015-03-11,81.82,81.97,80.54,80.69,6160900
2015-03-10,82.27,82.50,82.07,82.07,6311100
2015-03-09,82.59,83.34,82.54,82.88,4671500
2015-03-06,82.81,83.10,82.38,82.59,5731000
2015-03-05,83.15,83.87,82.96,83.57,5997500
2015-03-04,83.21,83.21,82.20,82.58,6214400
2015-03-03,83.66,83.82,83.17,83.37,6460800
2015-03-02,83.93,84.00,83.20,83.96,6061500
2015-02-27,83.72,84.16,83.40,83.93,5877400
2015-02-26,83.85,83.86,83.27,83.80,5888100
2015-02-25,84.63,84.72,83.52,83.57,6808400
2015-02-24,84.52,84.82,83.92,84.57,5197700
2015-02-23,84.39,84.86,84.23,84.60,6730400
2015-02-20,82.73,84.38,82.55,84.30,13840400
2015-02-19,84.50,84.80,83.39,83.52,18646800
2015-02-18,85.96,86.30,85.52,86.29,6032700
2015-02-17,85.43,85.97,84.97,85.96,5087200
2015-02-13,85.84,86.16,85.32,85.81,5597000
2015-02-12,86.56,86.68,85.23,85.89,6941600
2015-02-11,86.63,87.12,85.92,86.34,5853100
2015-02-10,86.62,87.41,86.42,87.29,5732100
2015-02-09,86.97,87.19,85.64,85.91,5456200
2015-02-06,87.26,88.00,86.78,87.33,5550700
2015-02-05,87.11,87.36,86.56,87.28,5090800
2015-02-04,86.11,87.04,86.00,86.65,8932300
2015-02-03,85.83,86.53,85.66,86.19,8283500
2015-02-02,84.79,85.87,83.93,85.71,6927200
