Date	Open	High	Low	Close	Volume
2015-05-28	43.06	43.42	42.93	43.07	10988400
2015-05-27	42.60	43.44	42.28	43.38	13671900
2015-05-26	43.41	43.50	42.58	42.85	12776200
2015-05-22	43.58	44.00	43.47	43.49	10271700
2015-05-21	43.06	43.87	43.05	43.68	30372300
2015-05-20	42.28	43.04	42.16	42.79	54383700
2015-05-19	44.38	44.66	39.12	40.98	41283000
2015-05-18	44.52	44.57	44.04	44.36	8278800
2015-05-15	45.00	45.07	44.69	44.75	7751900
2015-05-14	44.53	44.99	44.45	44.95	10098100
2015-05-13	44.03	44.67	43.98	44.40	10982100
2015-05-12	44.30	44.31	43.69	43.84	14226300
2015-05-11	43.82	44.14	43.59	43.60	11502600
2015-05-08	44.34	44.55	44.00	44.09	15699400
2015-05-07	44.93	44.98	43.55	43.87	28194200
2015-05-06	41.31	41.73	41.21	41.66	13921000
2015-05-05	41.86	42.00	40.81	41.30	19278500
2015-05-04	42.50	42.55	41.83	42.04	14455200
2015-05-01	42.55	42.68	42.09	42.51	10457300
2015-04-30	43.12	43.31	42.26	42.57	14218600
2015-04-29	43.88	44.05	43.09	43.28	12680000
2015-04-28	44.34	44.57	43.94	44.34	7188300
2015-04-27	44.65	45.10	44.25	44.36	10840900
2015-04-24	43.73	44.71	43.69	44.52	11267500
2015-04-23	43.92	44.06	43.58	43.70	14274900
2015-04-22	44.58	44.85	43.67	43.98	32241200
2015-04-21	45.15	45.18	44.45	44.49	16103700
2015-04-20	44.73	44.91	44.41	44.66	10052900
2015-04-17	45.30	45.44	44.25	44.45	13305700
2015-04-16	45.82	46.13	45.53	45.78	13800300
2015-04-15	45.46	45.83	45.23	45.73	15033500
2015-04-14	44.82	45.64	44.79	45.53	12365800
2015-04-13	45.25	45.59	44.72	44.77	8837300
2015-04-10	45.79	45.79	45.00	45.18	8436400
2015-04-09	45.70	46.17	45.16	45.63	13678000
2015-04-08	43.86	45.19	43.80	45.17	16071000
2015-04-07	43.79	44.22	43.56	43.61	11382000
2015-04-06	43.82	44.03	43.61	43.67	10717000
2015-04-02	44.24	44.36	43.68	44.15	12229400
2015-04-01	44.45	44.60	43.95	44.13	14722300
2015-03-31	44.82	45.20	44.42	44.44	10415500
2015-03-30	45.36	45.42	44.82	44.95	8884300
2015-03-27	45.20	45.67	45.01	45.10	20563500
2015-03-26	43.78	44.67	43.68	44.47	16162900
2015-03-25	44.59	44.93	44.13	44.20	14036900
2015-03-24	44.64	44.78	44.28	44.42	7559100
2015-03-23	45.25	45.54	44.71	44.72	8268800
2015-03-20	45.37	45.58	44.91	45.04	14194200
2015-03-19	44.90	45.45	44.81	44.98	14758000
2015-03-18	43.58	44.71	43.43	44.67	18919900
2015-03-17	43.54	44.16	43.46	43.79	9656200
2015-03-16	42.93	43.88	42.75	43.51	11376400
2015-03-13	42.84	42.98	42.44	42.87	9087000
2015-03-12	42.70	43.36	42.58	42.95	8384800
2015-03-11	42.77	42.99	42.36	42.50	10007300
2015-03-10	42.57	42.92	42.18	42.68	10600700
2015-03-09	43.60	43.93	42.67	42.98	11801900
2015-03-06	43.98	44.24	43.40	43.44	11888000
2015-03-05	44.18	44.31	43.50	44.16	11867700
2015-03-04	42.08	44.38	41.97	43.99	30098500
2015-03-03	43.70	43.95	42.42	42.62	22392400
2015-03-02	44.06	44.43	43.70	44.11	11027300
2015-02-27	44.38	44.57	44.05	44.28	10044200
2015-02-26	44.60	44.76	44.26	44.45	9223800
2015-02-25	43.21	44.72	43.21	44.43	17922900
2015-02-24	43.45	43.52	42.91	43.38	9797500
2015-02-23	43.99	43.99	43.42	43.53	12129100
2015-02-20	44.30	44.36	43.76	44.11	12036200
2015-02-19	43.65	44.42	43.50	44.37	13301000
2015-02-18	43.56	43.82	43.30	43.65	10410700
2015-02-17	44.37	44.54	43.35	43.53	12798400
2015-02-13	44.12	44.59	44.00	44.42	13785800
2015-02-12	43.07	44.16	42.86	43.93	18158200
2015-02-11	43.18	43.26	42.76	42.96	9791100
2015-02-10	42.90	43.18	42.66	43.07	12160800
2015-02-09	42.61	43.15	42.54	42.57	15507600
2015-02-06	43.57	43.66	42.67	42.94	16005100
2015-02-05	44.08	44.26	43.03	43.55	18414500
2015-02-04	44.80	44.98	43.88	44.05	16281400
2015-02-03	45.10	45.25	44.38	44.70	16985900
2015-02-02	44.43	44.76	43.88	44.69	20305700
