date	close
2015-05-28	43.07
2015-05-27	43.38
2015-05-26	42.85
2015-05-22	43.49
2015-05-21	43.68
2015-05-20	42.79
2015-05-19	40.98
2015-05-18	44.36
2015-05-15	44.75
2015-05-14	44.95
2015-05-13	44.4
2015-05-12	43.84
2015-05-11	43.6
2015-05-08	44.09
2015-05-07	43.87
2015-05-06	41.66
2015-05-05	41.3
2015-05-04	42.04
2015-05-01	42.51
2015-04-30	42.57
2015-04-29	43.28
2015-04-28	44.34
2015-04-27	44.36
2015-04-24	44.52
2015-04-23	43.7
2015-04-22	43.98
2015-04-21	44.49
2015-04-20	44.66
2015-04-17	44.45
2015-04-16	45.78
2015-04-15	45.73
2015-04-14	45.53
2015-04-13	44.77
2015-04-10	45.18
2015-04-09	45.63
2015-04-08	45.17
2015-04-07	43.61
2015-04-06	43.67
2015-04-02	44.15
2015-04-01	44.13
2015-03-31	44.44
2015-03-30	44.95
2015-03-27	45.1
2015-03-26	44.47
2015-03-25	44.2
2015-03-24	44.42
2015-03-23	44.72
2015-03-20	45.04
2015-03-19	44.98
2015-03-18	44.67
2015-03-17	43.79
2015-03-16	43.51
2015-03-13	42.87
2015-03-12	42.95
2015-03-11	42.5
2015-03-10	42.68
2015-03-09	42.98
2015-03-06	43.44
2015-03-05	44.16
2015-03-04	43.99
2015-03-03	42.62
2015-03-02	44.11
2015-02-27	44.28
2015-02-26	44.45
2015-02-25	44.43
2015-02-24	43.38
2015-02-23	43.53
2015-02-20	44.11
2015-02-19	44.37
2015-02-18	43.65
2015-02-17	43.53
2015-02-13	44.42
2015-02-12	43.93
2015-02-11	42.96
2015-02-10	43.07
2015-02-09	42.57
2015-02-06	42.94
2015-02-05	43.55
2015-02-04	44.05
2015-02-03	44.7
2015-02-02	44.69
